dataset,replicate,formula,delta_spearman_vs_magnitude
Frangieh,132,setting_adaptive_lodo,0.028620343406964538
Frangieh,133,one_sided_025,0.01175048809708193
Frangieh,133,setting_adaptive_lodo,0.025433602607592948
Frangieh,134,one_sided_025,0.020696110468255646
Frangieh,134,setting_adaptive_lodo,0.04034228942757903
Frangieh,135,one_sided_025,0.011527644159244108
Frangieh,135,setting_adaptive_lodo,0.008150397941736623
Frangieh,136,one_sided_025,0.015812280415811925
Frangieh,136,setting_adaptive_lodo,0.03112797852270885
Frangieh,137,one_sided_025,0.026346515014301797
Frangieh,137,setting_adaptive_lodo,0.044522705331403595
Frangieh,138,one_sided_025,0.01750991864184906
Frangieh,138,setting_adaptive_lodo,0.041327351192662454
Frangieh,139,one_sided_025,0.02406188685858035
Frangieh,139,setting_adaptive_lodo,0.036560908909748446
Frangieh,140,one_sided_025,0.01554878919714714
Frangieh,140,setting_adaptive_lodo,0.02910054864689765
Frangieh,141,one_sided_025,0.015239002254449019
Frangieh,141,setting_adaptive_lodo,0.019991965081058216
Frangieh,142,one_sided_025,0.007084727438075505
Frangieh,142,setting_adaptive_lodo,0.014623024718081079
Frangieh,143,one_sided_025,0.01288854877408574
Frangieh,143,setting_adaptive_lodo,0.02942736715701169
Frangieh,144,one_sided_025,0.015719223644872188
Frangieh,144,setting_adaptive_lodo,0.03512536252975598
Frangieh,145,one_sided_025,0.01039367375317593
Frangieh,145,setting_adaptive_lodo,0.028583385281473556
Frangieh,146,one_sided_025,0.016165164217379763
Frangieh,146,setting_adaptive_lodo,0.032984010998217544
Frangieh,147,one_sided_025,0.013466286410876688
Frangieh,147,setting_adaptive_lodo,0.023666568333767818
Frangieh,148,one_sided_025,0.01910603783680534
Frangieh,148,setting_adaptive_lodo,0.029091525685227715
Frangieh,149,one_sided_025,0.0051675529711433105
Frangieh,149,setting_adaptive_lodo,0.01962508682890471
Frangieh,150,one_sided_025,0.015632411899086207
Frangieh,150,setting_adaptive_lodo,0.034456927410055765
Frangieh,151,one_sided_025,0.015696993970168216
Frangieh,151,setting_adaptive_lodo,0.021050462783181817
Frangieh,152,one_sided_025,0.019437441221409613
Frangieh,152,setting_adaptive_lodo,0.02942527963930311
Frangieh,153,one_sided_025,0.012510078029985383
Frangieh,153,setting_adaptive_lodo,0.019018735815312465
Frangieh,154,one_sided_025,0.018737394824331774
Frangieh,154,setting_adaptive_lodo,0.03101414729124631
Frangieh,155,one_sided_025,0.015652125834125147
Frangieh,155,setting_adaptive_lodo,0.02902436239618944
Frangieh,156,one_sided_025,0.012776654449048769
Frangieh,156,setting_adaptive_lodo,0.02115185947619022
Frangieh,157,one_sided_025,0.013549960283558732
Frangieh,157,setting_adaptive_lodo,0.02941312835597315
Frangieh,158,one_sided_025,0.027484046544474477
Frangieh,158,setting_adaptive_lodo,0.053627310735179956
Frangieh,159,one_sided_025,0.020523332361639002
Frangieh,159,setting_adaptive_lodo,0.04160331820367688
Frangieh,160,one_sided_025,0.014483706808451152
Frangieh,160,setting_adaptive_lodo,0.013421627238426631
Frangieh,161,one_sided_025,0.015329591303984424
Frangieh,161,setting_adaptive_lodo,0.024705998123390638
Frangieh,162,one_sided_025,0.017728891873942956
Frangieh,162,setting_adaptive_lodo,0.030453925159942496
Frangieh,163,one_sided_025,0.020050566785892232
Frangieh,163,setting_adaptive_lodo,0.04754633174233365
Frangieh,164,one_sided_025,0.003950739314329349
Frangieh,164,setting_adaptive_lodo,0.018021061093328933
Frangieh,165,one_sided_025,0.02233438878289462
Frangieh,165,setting_adaptive_lodo,0.03440791055935047
Frangieh,166,one_sided_025,0.018953435087370407
Frangieh,166,setting_adaptive_lodo,0.03458851051547404
Frangieh,167,one_sided_025,0.016055267357440103
Frangieh,167,setting_adaptive_lodo,0.0362585299903601
Frangieh,168,one_sided_025,0.015590839616683949
Frangieh,168,setting_adaptive_lodo,0.027312218309155062
Frangieh,169,one_sided_025,0.015314907687976914
Frangieh,169,setting_adaptive_lodo,0.02339117930409018
Frangieh,170,one_sided_025,0.01258270081341649
Frangieh,170,setting_adaptive_lodo,0.03037545657424366
Frangieh,171,one_sided_025,0.008723930821158549
Frangieh,171,setting_adaptive_lodo,0.014101903235946733
Frangieh,172,one_sided_025,0.01801881828229318
Frangieh,172,setting_adaptive_lodo,0.030768248350495936
Frangieh,173,one_sided_025,0.019356670664355813
Frangieh,173,setting_adaptive_lodo,0.0341920768754867
Frangieh,174,one_sided_025,0.010563593111436204
Frangieh,174,setting_adaptive_lodo,0.024544710637997208
Frangieh,175,one_sided_025,0.009623871052667127
Frangieh,175,setting_adaptive_lodo,0.024536534551354294
Frangieh,176,one_sided_025,0.013045100023620415
Frangieh,176,setting_adaptive_lodo,0.03523171328625033
Frangieh,177,one_sided_025,0.022734026602534207
Frangieh,177,setting_adaptive_lodo,0.0381803099552058
Frangieh,178,one_sided_025,0.011862852605957347
Frangieh,178,setting_adaptive_lodo,0.030128783180898913
Frangieh,179,one_sided_025,0.02029718166300365
Frangieh,179,setting_adaptive_lodo,0.029151285108454994
Frangieh,180,one_sided_025,0.018230925451105967
Frangieh,180,setting_adaptive_lodo,0.035540630715353044
Frangieh,181,one_sided_025,0.017228103063207698
Frangieh,181,setting_adaptive_lodo,0.03167434426886824
Frangieh,182,one_sided_025,0.025104322862132766
Frangieh,182,setting_adaptive_lodo,0.04886999302820011
Frangieh,183,one_sided_025,0.016395984622233156
Frangieh,183,setting_adaptive_lodo,0.039949278285153295
Frangieh,184,one_sided_025,0.019769674954435767
Frangieh,184,setting_adaptive_lodo,0.03772971526950153
Frangieh,185,one_sided_025,0.013373257718568399
Frangieh,185,setting_adaptive_lodo,0.029776822633966582
Frangieh,186,one_sided_025,0.012514835315824424
Frangieh,186,setting_adaptive_lodo,0.034244092767471423
Frangieh,187,one_sided_025,0.015600491669656213
Frangieh,187,setting_adaptive_lodo,0.029486557576120953
Frangieh,188,one_sided_025,0.012634591403133444
Frangieh,188,setting_adaptive_lodo,0.022972168780963753
Frangieh,189,one_sided_025,0.01584342989903237
Frangieh,189,setting_adaptive_lodo,0.0373251988161816
Frangieh,190,one_sided_025,0.020737567406102678
Frangieh,190,setting_adaptive_lodo,0.02606859406716326
Frangieh,191,one_sided_025,0.017677903127833516
Frangieh,191,setting_adaptive_lodo,0.03396517579202643
Frangieh,192,one_sided_025,0.01569150740430114
Frangieh,192,setting_adaptive_lodo,0.020211960884655544
Frangieh,193,one_sided_025,0.010946297697098512
Frangieh,193,setting_adaptive_lodo,0.015384576002150735
Frangieh,194,one_sided_025,0.01840224321834799
Frangieh,194,setting_adaptive_lodo,0.027025577407124884
Frangieh,195,one_sided_025,0.017957556679159214
Frangieh,195,setting_adaptive_lodo,0.04412930351249392
Frangieh,196,one_sided_025,0.011318623919012838
Frangieh,196,setting_adaptive_lodo,0.031012466918129283
Frangieh,197,one_sided_025,0.019193346305947323
Frangieh,197,setting_adaptive_lodo,0.04326207264450038
Frangieh,198,one_sided_025,0.015929862420321128
Frangieh,198,setting_adaptive_lodo,0.03291287345910163
Frangieh,199,one_sided_025,0.00792502559569866
Frangieh,199,setting_adaptive_lodo,0.009423687753038257
Frangieh,200,one_sided_025,0.018293676560015015
Frangieh,200,setting_adaptive_lodo,0.032881643586553655
Frangieh,201,one_sided_025,0.010652635482822165
Frangieh,201,setting_adaptive_lodo,0.018607530352872187
Frangieh,202,one_sided_025,0.019180876273366315
Frangieh,202,setting_adaptive_lodo,0.027521437997821058
Frangieh,203,one_sided_025,0.01037203488850115
Frangieh,203,setting_adaptive_lodo,0.015582268731666363
Frangieh,204,one_sided_025,0.014140385457383498
Frangieh,204,setting_adaptive_lodo,0.027221338165762304
Frangieh,205,one_sided_025,0.01128844310123893
Frangieh,205,setting_adaptive_lodo,0.01914702787934637
Frangieh,206,one_sided_025,0.01841815977856537
Frangieh,206,setting_adaptive_lodo,0.027998276279365186
Frangieh,207,one_sided_025,0.015021655175371615
Frangieh,207,setting_adaptive_lodo,0.027485632230757076
Frangieh,208,one_sided_025,0.01235649687939891
