panel,score,target,target_kind,coverage,n_retained,n_rejected,retained_mean,full_set_mean,raw_change_vs_full,favorable_change_vs_full
Norman_P2,combined_confidence,rmse_effect_error,error,0.5,12,12,0.07353202183997203,0.06304870772351873,0.010483314116453299,-0.010483314116453299
Norman_P2,combined_confidence,rmse_effect_error,error,0.55,13,11,0.07182398585414075,0.06304870772351873,0.008775278130622025,-0.008775278130622025
Norman_P2,combined_confidence,rmse_effect_error,error,0.6,14,10,0.06986022619517543,0.06304870772351873,0.006811518471656702,-0.006811518471656702
Norman_P2,combined_confidence,rmse_effect_error,error,0.65,15,9,0.06709979730926444,0.06304870772351873,0.00405108958574571,-0.00405108958574571
Norman_P2,combined_confidence,rmse_effect_error,error,0.7,16,8,0.06655386643447138,0.06304870772351873,0.003505158710952652,-0.003505158710952652
Norman_P2,combined_confidence,rmse_effect_error,error,0.75,18,6,0.06172273327727454,0.06304870772351873,-0.001325974446244188,0.001325974446244188
Norman_P2,combined_confidence,rmse_effect_error,error,0.8,19,5,0.06067161061148957,0.06304870772351873,-0.0023770971120291584,0.0023770971120291584
Norman_P2,combined_confidence,rmse_effect_error,error,0.85,20,4,0.06101463899092208,0.06304870772351873,-0.00203406873259665,0.00203406873259665
Norman_P2,combined_confidence,rmse_effect_error,error,0.9,21,3,0.06331514287218122,0.06304870772351873,0.0002664351486624944,-0.0002664351486624944
Norman_P2,combined_confidence,rmse_effect_error,error,0.95,22,2,0.062203830985370696,0.06304870772351873,-0.0008448767381480302,0.0008448767381480302
Norman_P2,combined_confidence,rmse_effect_error,error,1.0,24,0,0.06304870772351874,0.06304870772351873,1.3877787807814457e-17,-1.3877787807814457e-17
Norman_P2,predicted_magnitude,pearson_effect_accuracy,accuracy,0.5,12,12,0.7014461653251588,0.6027864520364073,0.09865971328875145,0.09865971328875145
Norman_P2,predicted_magnitude,pearson_effect_accuracy,accuracy,0.55,13,11,0.7194561117825273,0.6027864520364073,0.11666965974611998,0.11666965974611998
Norman_P2,predicted_magnitude,pearson_effect_accuracy,accuracy,0.6,14,10,0.7253700363474679,0.6027864520364073,0.12258358431106053,0.12258358431106053
Norman_P2,predicted_magnitude,pearson_effect_accuracy,accuracy,0.65,15,9,0.7139547384508929,0.6027864520364073,0.1111682864144855,0.1111682864144855
Norman_P2,predicted_magnitude,pearson_effect_accuracy,accuracy,0.7,16,8,0.6466446613666286,0.6027864520364073,0.04385820933022122,0.04385820933022122
Norman_P2,predicted_magnitude,pearson_effect_accuracy,accuracy,0.75,18,6,0.6672532717652516,0.6027864520364073,0.06446681972884427,0.06446681972884427
Norman_P2,predicted_magnitude,pearson_effect_accuracy,accuracy,0.8,19,5,0.6655262181513473,0.6027864520364073,0.06273976611493992,0.06273976611493992
Norman_P2,predicted_magnitude,pearson_effect_accuracy,accuracy,0.85,20,4,0.6522021464495013,0.6027864520364073,0.0494156944130939,0.0494156944130939
Norman_P2,predicted_magnitude,pearson_effect_accuracy,accuracy,0.9,21,3,0.6500435296680883,0.6027864520364073,0.047257077631680966,0.047257077631680966
Norman_P2,predicted_magnitude,pearson_effect_accuracy,accuracy,0.95,22,2,0.6186348183811018,0.6027864520364073,0.015848366344694442,0.015848366344694442
Norman_P2,predicted_magnitude,pearson_effect_accuracy,accuracy,1.0,24,0,0.6027864520364073,0.6027864520364073,0.0,0.0
Norman_P2,predicted_magnitude,cosine_effect_accuracy,accuracy,0.5,12,12,0.7197320989270618,0.6124827729094017,0.10724932601766013,0.10724932601766013
Norman_P2,predicted_magnitude,cosine_effect_accuracy,accuracy,0.55,13,11,0.7368845526159684,0.6124827729094017,0.12440177970656674,0.12440177970656674
