dataset_name,predictor_name,validation_mode,feature_set,score_name,n,n_task_clusters,aligned_rho,partial_rho_control_magnitude,excess_aurc,aurc_reduction_vs_random_pct,top5_enrichment,top10_enrichment,top20_enrichment
LaraAstiasoHuntly2023_exvivo,PertMeanPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,323,323,0.8730189550190851,0.8640684045727783,0.1495192520071359,55.11891412161578,1.1176470588235294,1.1864095500459138,3.1344378698224853
LaraAstiasoHuntly2023_invivo,Control1NNPredictor,lodo_lopo,full,lodo_lopo_full,375,375,0.36799098551072806,0.2696712767530601,2.2472272825274535,27.663069196165473,5.193905817174515,3.376038781163435,2.1999999999999997
LaraAstiasoHuntly2023_invivo,Control1NNPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,375,375,0.3490464398653099,0.2610983037126153,2.420637555480136,24.009729227716377,5.193905817174515,3.116343490304709,2.1333333333333333
LaraAstiasoHuntly2023_invivo,Control1NNPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,375,375,0.13044689761176345,0.11138451617545767,3.241651756658625,6.71292238485923,1.0387811634349031,0.7790858725761772,1.0
LaraAstiasoHuntly2023_invivo,Control1NNPredictor,lopo,full,lopo_full,375,375,0.6130146669274154,0.4054090175174287,1.035946345100466,53.18186336201048,3.116343490304709,4.1551246537396125,3.4
LaraAstiasoHuntly2023_invivo,Control1NNPredictor,lopo,no_disagreement,lopo_no_disagreement,375,375,0.6244606087956096,0.42189050327970706,1.0057284073473824,53.818483084001066,7.271468144044321,4.1551246537396125,3.2666666666666666
LaraAstiasoHuntly2023_invivo,Control1NNPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,375,375,0.4773796356635679,0.2613964058193845,1.5940854470001748,41.42320654079159,1.0387811634349031,1.8178670360110802,1.9333333333333331
LaraAstiasoHuntly2023_invivo,PertMeanPredictor,lodo_lopo,full,lodo_lopo_full,375,375,0.5269714538498049,0.599509299425387,2.4515170156107007,24.871888322114764,0.0,1.0387811634349031,2.466666666666667
LaraAstiasoHuntly2023_invivo,PertMeanPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,375,375,0.4529852753952125,0.5675766568674641,2.916702386936604,17.535657308640783,0.0,0.5193905817174516,2.333333333333333
LaraAstiasoHuntly2023_invivo,PertMeanPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,375,375,0.4775232897722415,0.5429297552177381,2.8558092789227847,18.495975356141965,0.0,0.2596952908587258,2.1999999999999997
LaraAstiasoHuntly2023_invivo,PertMeanPredictor,lopo,full,lopo_full,375,375,0.7767142765632405,0.7446162917318401,1.066677970831761,46.711567244131665,3.116343490304709,1.5581717451523545,2.733333333333333
LaraAstiasoHuntly2023_invivo,PertMeanPredictor,lopo,no_disagreement,lopo_no_disagreement,375,375,0.7600526408219754,0.7375958338790655,1.1730488049367156,45.03404026200489,1.0387811634349031,1.0387811634349031,2.8000000000000003
LaraAstiasoHuntly2023_invivo,PertMeanPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,375,375,0.7776914071784562,0.6953426272835438,1.1116701851525836,46.00201509909217,2.0775623268698062,2.3372576177285316,2.9999999999999996
McFarlandTsherniak2020,Control1NNPredictor,lodo_lopo,full,lodo_lopo_full,1163,1163,0.3686967817215827,0.2692098724555775,0.5206681089441614,21.887527653370007,4.343292157426027,2.5487617795310102,1.9280148833096944
McFarlandTsherniak2020,Control1NNPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,1163,1163,0.36616548468452076,0.25931920092029503,0.5145778425547061,22.223767601870968,4.009192760700948,2.2938856015779097,1.9065924957173646
McFarlandTsherniak2020,Control1NNPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,1163,1163,0.17637555050104237,0.09699130075156047,0.7110194284290852,11.378345662329835,4.343292157426027,2.039009423624808,1.6495238446094054
McFarlandTsherniak2020,Control1NNPredictor,lopo,full,lopo_full,1163,1163,0.5018607355221597,0.34953131722839575,0.40398086707146796,28.329760174746266,5.345590347601264,2.7186792314997446,2.1636611468253237
McFarlandTsherniak2020,Control1NNPredictor,lopo,no_disagreement,lopo_no_disagreement,1163,1163,0.5186813545188161,0.3676839882385872,0.4058086675220256,28.228848409962108,5.011490950876184,2.5487617795310102,2.056549208863674
McFarlandTsherniak2020,Control1NNPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,1163,1163,0.40470086051111775,0.2259239821003635,0.5178084144812314,22.045409666644318,5.011490950876184,2.5487617795310102,2.056549208863674
McFarlandTsherniak2020,PertMeanPredictor,lodo_lopo,full,lodo_lopo_full,1163,1163,0.24884042396761427,0.20104975617164922,0.5324842764965562,13.454005413317875,2.672795173800632,2.7186792314997446,1.735213394978725
McFarlandTsherniak2020,PertMeanPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,1163,1163,0.2576393642646273,0.21554584180955347,0.5230558916382814,14.037065337917308,2.672795173800632,2.3788443275622764,1.8209029453480448
McFarlandTsherniak2020,PertMeanPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,1163,1163,0.310157179061546,0.26691815186152984,0.4715162937451144,17.224321110055353,2.672795173800632,2.208926875593542,1.9922820460866844
McFarlandTsherniak2020,PertMeanPredictor,lopo,full,lopo_full,1163,1163,0.5352573900798417,0.3600431002694067,0.28878614097863575,28.524520528682174,3.675093363975869,3.483307765359047,2.677798449041242
McFarlandTsherniak2020,PertMeanPredictor,lopo,no_disagreement,lopo_no_disagreement,1163,1163,0.5321495558558464,0.3430124372231077,0.2924572471143586,28.29749597475632,3.34099396725079,3.2284315874059466,2.6563760614489125
McFarlandTsherniak2020,PertMeanPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,1163,1163,0.5403964155148137,0.3390675953657146,0.2902293170086433,28.435273205849203,4.009192760700948,3.3983490393746805,2.677798449041242
SantinhaPlatt2023,Control1NNPredictor,lodo_lopo,full,lodo_lopo_full,273,273,0.45682440082902737,0.5898228048292006,0.13372003923912057,19.90849857929925,5.571428571428571,2.7857142857142856,2.075702479338843
SantinhaPlatt2023,Control1NNPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,273,273,0.4496281996003379,0.5910703977830685,0.1370830654031741,19.27329129940813,4.178571428571429,2.7857142857142856,2.16595041322314
SantinhaPlatt2023,Control1NNPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,273,273,0.22611612323842936,0.3068491303237096,0.17414577804941844,12.272898279262629,0.0,0.6964285714285714,1.714710743801653
SantinhaPlatt2023,Control1NNPredictor,lopo,full,lopo_full,273,273,0.6563073853564751,0.66068918093183,0.07824897734311842,30.385854573806625,5.571428571428571,3.1339285714285716,2.436694214876033
SantinhaPlatt2023,Control1NNPredictor,lopo,no_disagreement,lopo_no_disagreement,273,273,0.6569782238339558,0.6429998611680765,0.07569266800478547,30.86868944399555,5.571428571428571,2.7857142857142856,2.3464462809917355
SantinhaPlatt2023,Control1NNPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,273,273,0.42649629210381157,0.2924898500915582,0.11952869799583826,22.588954463200757,1.3928571428571428,1.3928571428571428,1.895206611570248
SantinhaPlatt2023,PertMeanPredictor,lodo_lopo,full,lodo_lopo_full,273,273,0.08963074280807214,0.2718844852642461,0.1542602114406721,2.3143989243969374,2.7857142857142856,1.0446428571428572,0.9927272727272728
SantinhaPlatt2023,PertMeanPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,273,273,0.08135068404884574,0.2761805564108778,0.15857984199526726,1.1596629048742546,2.7857142857142856,1.0446428571428572,0.9927272727272728
SantinhaPlatt2023,PertMeanPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,273,273,0.07703336809176226,0.25826215725545043,0.15794466531160445,1.329460156309603,1.3928571428571428,0.6964285714285714,0.9927272727272728
SantinhaPlatt2023,PertMeanPredictor,lopo,full,lopo_full,273,273,0.4413009167732225,0.38269315844076546,0.08520609881338415,20.774142214729928,2.7857142857142856,1.3928571428571428,1.714710743801653
SantinhaPlatt2023,PertMeanPredictor,lopo,no_disagreement,lopo_no_disagreement,273,273,0.47897890370521995,0.3960403456975239,0.08001573967272668,22.16164389530772,1.3928571428571428,1.7410714285714286,1.6244628099173553
SantinhaPlatt2023,PertMeanPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,273,273,0.4750019315711546,0.35743822923178165,0.07844855660194805,22.580587765192412,2.7857142857142856,1.3928571428571428,1.4439669421487602
