dataset_name,predictor_name,validation_mode,feature_set,score_name,magnitude_bin,n,mag_min,mag_max,within_bin_rho_risk_vs_error
Frangieh,PertMeanPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,0,159,2.105267286300659,2.5118207931518555,-0.31978202928059596
Frangieh,PertMeanPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,1,158,2.5121395587921143,2.8305065631866455,-0.4190199540360629
Frangieh,PertMeanPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,2,158,2.834611177444458,3.2675139904022217,-0.3101702806111433
Frangieh,PertMeanPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,3,158,3.270176410675049,8.537299156188965,-0.22288048064489552
Frangieh,PertMeanPredictor,lopo,full,lopo_full,0,159,2.105267286300659,2.5118207931518555,0.6373308137993233
Frangieh,PertMeanPredictor,lopo,full,lopo_full,1,158,2.5121395587921143,2.8305065631866455,0.6190089717272724
Frangieh,PertMeanPredictor,lopo,full,lopo_full,2,158,2.834611177444458,3.2675139904022217,0.6295526650393171
Frangieh,PertMeanPredictor,lopo,full,lopo_full,3,158,3.270176410675049,8.537299156188965,0.707154315691598
Frangieh,PertMeanPredictor,lopo,no_disagreement,lopo_no_disagreement,0,159,2.105267286300659,2.5118207931518555,0.49574176904569633
Frangieh,PertMeanPredictor,lopo,no_disagreement,lopo_no_disagreement,1,158,2.5121395587921143,2.8305065631866455,0.40173243559949906
Frangieh,PertMeanPredictor,lopo,no_disagreement,lopo_no_disagreement,2,158,2.834611177444458,3.2675139904022217,0.38272055710988234
Frangieh,PertMeanPredictor,lopo,no_disagreement,lopo_no_disagreement,3,158,3.270176410675049,8.537299156188965,0.7175956845851333
Frangieh,PertMeanPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,0,159,2.105267286300659,2.5118207931518555,0.4264402201563353
Frangieh,PertMeanPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,1,158,2.5121395587921143,2.8305065631866455,0.03507029236074604
Frangieh,PertMeanPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,2,158,2.834611177444458,3.2675139904022217,0.18691690536639358
Frangieh,PertMeanPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,3,158,3.270176410675049,8.537299156188965,-0.10900143161914967
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,baseline,none,frozen_v0_2,0,81,11.016681671142578,22.184783935546875,0.006922251719012049
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,baseline,none,frozen_v0_2,1,81,22.24137306213379,33.1614875793457,0.29611102335968964
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,baseline,none,frozen_v0_2,2,80,33.38782501220703,49.88027572631836,0.3170491573575585
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,baseline,none,frozen_v0_2,3,81,49.884185791015625,1409.8509521484375,0.7895212285456187
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,baseline,none,predicted_magnitude,0,81,11.016681671142578,22.184783935546875,0.520558158743506
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,baseline,none,predicted_magnitude,1,81,22.24137306213379,33.1614875793457,0.14873275059454374
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,baseline,none,predicted_magnitude,2,80,33.38782501220703,49.88027572631836,-0.3224125708522859
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,baseline,none,predicted_magnitude,3,81,49.884185791015625,1409.8509521484375,0.11311550398262187
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,baseline,none,random,0,81,11.016681671142578,22.184783935546875,0.028490768494400326
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,baseline,none,random,1,81,22.24137306213379,33.1614875793457,0.0314821924694663
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,baseline,none,random,2,80,33.38782501220703,49.88027572631836,0.1152160154094196
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,baseline,none,random,3,81,49.884185791015625,1409.8509521484375,0.07953929539295393
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lodo_lopo,full,lodo_lopo_full,0,81,11.016681671142578,22.184783935546875,0.32043362932901454
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lodo_lopo,full,lodo_lopo_full,1,81,22.24137306213379,33.1614875793457,0.28333003984529054
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lodo_lopo,full,lodo_lopo_full,2,80,33.38782501220703,49.88027572631836,0.07479078273931908
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lodo_lopo,full,lodo_lopo_full,3,81,49.884185791015625,1409.8509521484375,0.0292457091237579
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,0,81,11.016681671142578,22.184783935546875,0.330879115201912
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,1,81,22.24137306213379,33.1614875793457,0.32097608355257506
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,2,80,33.38782501220703,49.88027572631836,0.0749900372929264
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lodo_lopo,no_disagreement,lodo_lopo_no_disagreement,3,81,49.884185791015625,1409.8509521484375,-0.013888888888888886
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,0,81,11.016681671142578,22.184783935546875,0.13296821205769474
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,1,81,22.24137306213379,33.1614875793457,0.26281081331935385
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,2,80,33.38782501220703,49.88027572631836,0.25226798572298453
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lodo_lopo,pre_model_task_only,lodo_lopo_pre_model_task_only,3,81,49.884185791015625,1409.8509521484375,-0.28590785907859073
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lopo,full,lopo_full,0,81,11.016681671142578,22.184783935546875,0.30209474386135454
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lopo,full,lopo_full,1,81,22.24137306213379,33.1614875793457,0.30608361803222056
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lopo,full,lopo_full,2,80,33.38782501220703,49.88027572631836,0.1418458004562356
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lopo,full,lopo_full,3,81,49.884185791015625,1409.8509521484375,0.4374435411020776
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lopo,no_disagreement,lopo_no_disagreement,0,81,11.016681671142578,22.184783935546875,0.3408729043884139
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lopo,no_disagreement,lopo_no_disagreement,1,81,22.24137306213379,33.1614875793457,0.32153120858295015
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lopo,no_disagreement,lopo_no_disagreement,2,80,33.38782501220703,49.88027572631836,0.17379201221662177
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lopo,no_disagreement,lopo_no_disagreement,3,81,49.884185791015625,1409.8509521484375,0.5564363143631436
LaraAstiasoHuntly2023_exvivo,Control1NNPredictor,lopo,pre_model_task_only,lopo_pre_model_task_only,0,81,11.016681671142578,22.184783935546875,0.1428942467412373
