experiment,stratum,outcome,predictor,budget,n_tasks,n_selected,high_error_capture,random_expected_capture,selected_mean_error,overall_mean_error,error_lift,oracle_mean_error,oracle_normalized_utility,selected_mean_bound_to_error_ratio
E189,support_2::unseen_context_row,family_worst_error,diameter_half_lower_bound,0.2,1440,288,0.2708333333333333,0.2,0.1327129057891259,0.12081469771900524,1.0984831174911673,0.19882408321098824,0.15252277652338933,0.2996468523862245
E189,support_2::unseen_context_row,family_worst_error,predicted_magnitude,0.2,1440,288,0.23958333333333334,0.2,0.12795167757750583,0.12081469771900524,1.0590737715960687,0.19882408321098824,0.09148873322728657,
E189,support_2::unseen_context_row,family_worst_error,diameter_half_lower_bound,0.3,1440,432,0.40046296296296297,0.3,0.12896845756776623,0.12081469771900524,1.0674898005185203,0.17840028849547274,0.14159375181912773,0.2906667568727694
E189,support_2::unseen_context_row,family_worst_error,predicted_magnitude,0.3,1440,432,0.3101851851851852,0.3,0.12026749759854652,0.12081469771900524,0.995470748751684,0.17840028849547274,-0.009502379207722548,
E189,support_2::unseen_perturbation_column,family_rms_error,diversity_lower_bound,0.1,960,96,0.10416666666666667,0.1,0.12246816475356982,0.11861798639705108,1.032458638638756,0.26615101753032916,0.02609705993934724,0.2919779913785729
E189,support_2::unseen_perturbation_column,family_rms_error,predicted_magnitude,0.1,960,96,0.08333333333333333,0.1,0.11645748442333466,0.11861798639705108,0.9817860508398402,0.26615101753032916,-0.01464419158964254,
E189,support_2::unseen_perturbation_column,family_rms_error,diversity_lower_bound,0.2,960,192,0.19270833333333334,0.2,0.12257823113795695,0.11861798639705108,1.033386545002119,0.21423339521797558,0.04141847835763481,0.2826819567467332
E189,support_2::unseen_perturbation_column,family_rms_error,predicted_magnitude,0.2,960,192,0.20833333333333334,0.2,0.12429380569517083,0.11861798639705108,1.047849567089438,0.21423339521797558,0.0593609269479759,
E189,support_2::unseen_perturbation_column,family_rms_error,diversity_lower_bound,0.3,960,288,0.3645833333333333,0.3,0.1259543841791766,0.11861798639705108,1.0618489489238867,0.18706162316741,0.10718889480903074,0.26990377222234074
E189,support_2::unseen_perturbation_column,family_rms_error,predicted_magnitude,0.3,960,288,0.3611111111111111,0.3,0.12639268338055512,0.11861798639705108,1.0655439973283625,0.18706162316741,0.11359269247467937,
E189,support_2::unseen_perturbation_column,family_worst_error,diameter_half_lower_bound,0.1,960,96,0.125,0.1,0.13321193540372503,0.12527520491771962,1.0633543604356364,0.27137181374684843,0.05432522047988137,0.29754854677460696
