target,scenario,scope,method,budget,n_tasks,spearman,utility,capture,remaining_relative_error
RPE1,two_sources_drop_K562,primary,magnitude,0.1,416,0.5825322874230736,0.6233177742721215,0.1378322744930165,0.958988700029158
RPE1,two_sources_drop_K562,primary,magnitude,0.2,416,0.5825322874230736,0.6084496005895047,0.25940156888730204,0.9279787570568746
RPE1,two_sources_drop_K562,primary,magnitude,0.3,416,0.5825322874230736,0.5381650628592927,0.3643143655585232,0.9087464739781936
RPE1,two_sources_drop_K562,all,candidate,0.1,467,0.603881960463556,0.6581542128083115,0.14200537125773544,0.9540083133872321
RPE1,two_sources_drop_K562,all,candidate,0.2,467,0.603881960463556,0.6609724357489873,0.2649823915899104,0.9202499279557959
RPE1,two_sources_drop_K562,all,candidate,0.3,467,0.603881960463556,0.5914130035045061,0.3730744991926714,0.8980803953282899
RPE1,two_sources_drop_K562,all,e230,0.1,467,0.6071554316744991,0.6590250042682039,0.14206009782928625,0.953947462651722
RPE1,two_sources_drop_K562,all,e230,0.2,467,0.6071554316744991,0.6632462855110642,0.26520152139538855,0.9199755750894196
RPE1,two_sources_drop_K562,all,e230,0.3,467,0.6071554316744991,0.6045932047802944,0.37466008453788185,0.8958090200024821
RPE1,two_sources_drop_K562,all,magnitude,0.1,467,0.589483906345253,0.5416596235342879,0.13468404374267626,0.9621489323146907
RPE1,two_sources_drop_K562,all,magnitude,0.2,467,0.589483906345253,0.6188014093598604,0.2609183901050357,0.9253381013966443
RPE1,two_sources_drop_K562,all,magnitude,0.3,467,0.589483906345253,0.5956999040385799,0.37359021564653827,0.8973416235983639
RPE1,two_sources_drop_hepg2,primary,candidate,0.1,416,0.5955457691307563,0.6534934905250191,0.1396172402271007,0.9570032835976634
RPE1,two_sources_drop_hepg2,primary,candidate,0.2,416,0.5955457691307563,0.6177001012006171,0.2602754371987049,0.926883789534153
RPE1,two_sources_drop_hepg2,primary,candidate,0.3,416,0.5955457691307563,0.5511399138574273,0.3658533569538903,0.9065464038047478
RPE1,two_sources_drop_hepg2,primary,e230,0.1,416,0.5929726907077589,0.6470723252019681,0.13923741295213304,0.9574257652724938
RPE1,two_sources_drop_hepg2,primary,e230,0.2,416,0.5929726907077589,0.6381536999024432,0.26220763011572434,0.9244627285296947
RPE1,two_sources_drop_hepg2,primary,e230,0.3,416,0.5929726907077589,0.5631239892003351,0.36727482906457726,0.9045143337083706
