dataset_group,dataset_name,predictor_name,score_name,score_type,coverage,n_total,n_kept,mean_rmse,median_rmse
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,ContextSimBaseline,protocol_v0_2_family_confidence,confidence,0.6,390,234,3.336520772541798,0.9770168176632545
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,ContextSimBaseline,protocol_v0_2_family_confidence,confidence,0.5,390,195,2.8418268988598334,0.9659187682217576
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,ContextSimBaseline,safeconf_linear_ranker_risk,risk,1.0,390,390,4.01616426297859,1.313178570311728
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,ContextSimBaseline,safeconf_linear_ranker_risk,risk,0.9,390,351,3.6003864132317513,1.1528144684765649
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,ContextSimBaseline,safeconf_linear_ranker_risk,risk,0.8,390,312,3.268276615510752,1.0832172367076973
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,ContextSimBaseline,safeconf_linear_ranker_risk,risk,0.7,390,273,3.256599603622159,1.0580859698901632
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,ContextSimBaseline,safeconf_linear_ranker_risk,risk,0.6,390,234,3.3377400024151638,1.0528548185501747
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,ContextSimBaseline,safeconf_linear_ranker_risk,risk,0.5,390,195,3.333506492867337,1.1464949170014442
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,V0StrongBaseline,lodo_error_ranker_risk,risk,1.0,390,390,5.762396618164624,3.2019567720802202
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,V0StrongBaseline,lodo_error_ranker_risk,risk,0.9,390,351,5.404092496200197,2.930949343067094
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,V0StrongBaseline,lodo_error_ranker_risk,risk,0.8,390,312,4.6880605043623635,2.6162924325530366
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,V0StrongBaseline,lodo_error_ranker_risk,risk,0.7,390,273,4.52873032690955,2.3726279508057644
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,V0StrongBaseline,lodo_error_ranker_risk,risk,0.6,390,234,4.171985512817217,1.9566318768878752
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,V0StrongBaseline,lodo_error_ranker_risk,risk,0.5,390,195,3.7616161087568063,1.8913231307497511
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,V0StrongBaseline,model_disagreement_risk,risk,1.0,390,390,5.762396618164626,3.2019567720802202
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,V0StrongBaseline,model_disagreement_risk,risk,0.9,390,351,4.908326362780689,2.950606462137952
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,V0StrongBaseline,model_disagreement_risk,risk,0.8,390,312,4.358159987316209,2.7517014001920943
lara_astiaso_group,LaraAstiasoHuntly2023_invivo,V0StrongBaseline,model_disagreement_risk,risk,0.7,390,273,4.006649148708705,2.447661891335895
