guide_id,ensembl_core,perturbed_gene_name,observed_ensembl_core,observed_gene_name,design_observed_mapping_match,n_donor_state_pairs_present,minimum_identity_rows_per_donor_state,complete_12_donor_state_identity,used_for_assay_available_universe
TNRC6A-1,ENSG00000090905,TNRC6A,ENSG00000090905,TNRC6A,True,12.0,1.0,True,True
TNRC6A-2,ENSG00000090905,TNRC6A,ENSG00000090905,TNRC6A,True,12.0,1.0,True,True
TOR3A-1,ENSG00000186283,TOR3A,ENSG00000186283,TOR3A,True,12.0,1.0,True,True
TOR3A-2,ENSG00000186283,TOR3A,ENSG00000186283,TOR3A,True,12.0,1.0,True,True
TSHZ1-1,ENSG00000179981,TSHZ1,ENSG00000179981,TSHZ1,True,12.0,1.0,True,True
TSHZ1-2,ENSG00000179981,TSHZ1,ENSG00000179981,TSHZ1,True,12.0,1.0,True,True
TSPYL2-1,ENSG00000184205,TSPYL2,ENSG00000184205,TSPYL2,True,12.0,1.0,True,True
TSPYL2-2,ENSG00000184205,TSPYL2,ENSG00000184205,TSPYL2,True,12.0,1.0,True,True
TXNDC15-1,ENSG00000113621,TXNDC15,ENSG00000113621,TXNDC15,True,12.0,1.0,True,True
TXNDC15-2,ENSG00000113621,TXNDC15,ENSG00000113621,TXNDC15,True,12.0,1.0,True,True
TXNDC5-1,ENSG00000239264,TXNDC5,ENSG00000239264,TXNDC5,True,12.0,1.0,True,True
TXNDC5-2,ENSG00000239264,TXNDC5,ENSG00000239264,TXNDC5,True,12.0,1.0,True,True
UGP2-1,ENSG00000169764,UGP2,ENSG00000169764,UGP2,True,12.0,1.0,True,True
UGP2-2,ENSG00000169764,UGP2,ENSG00000169764,UGP2,True,12.0,1.0,True,True
VIPR1-1,ENSG00000114812,VIPR1,ENSG00000114812,VIPR1,True,12.0,1.0,True,True
VIPR1-2,ENSG00000114812,VIPR1,ENSG00000114812,VIPR1,True,12.0,1.0,True,True
VKORC1-1,ENSG00000167397,VKORC1,ENSG00000167397,VKORC1,True,12.0,1.0,True,True
VKORC1-2,ENSG00000167397,VKORC1,ENSG00000167397,VKORC1,True,12.0,1.0,True,True
WDFY1-1,ENSG00000085449,WDFY1,ENSG00000085449,WDFY1,True,12.0,1.0,True,True
WDFY1-2,ENSG00000085449,WDFY1,ENSG00000085449,WDFY1,True,12.0,1.0,True,True
WDSUB1-1,ENSG00000196151,WDSUB1,ENSG00000196151,WDSUB1,True,12.0,1.0,True,True
WDSUB1-2,ENSG00000196151,WDSUB1,ENSG00000196151,WDSUB1,True,12.0,1.0,True,True
XKR8-1,ENSG00000158156,XKR8,ENSG00000158156,XKR8,True,12.0,1.0,True,True
XKR8-2,ENSG00000158156,XKR8,ENSG00000158156,XKR8,True,12.0,1.0,True,True
YDJC-1,ENSG00000161179,YDJC,ENSG00000161179,YDJC,True,12.0,1.0,True,True
YDJC-2,ENSG00000161179,YDJC,ENSG00000161179,YDJC,True,12.0,1.0,True,True
YWHAG-1,ENSG00000170027,YWHAG,ENSG00000170027,YWHAG,True,12.0,1.0,True,True
YWHAG-2,ENSG00000170027,YWHAG,ENSG00000170027,YWHAG,True,12.0,1.0,True,True
YWHAZ-1,ENSG00000164924,YWHAZ,ENSG00000164924,YWHAZ,True,12.0,1.0,True,True
YWHAZ-2,ENSG00000164924,YWHAZ,ENSG00000164924,YWHAZ,True,12.0,1.0,True,True
ZFP57-1,ENSG00000204644,ZFP57,ENSG00000204644,ZFP57,True,12.0,1.0,True,True
ZFP57-2,ENSG00000204644,ZFP57,ENSG00000204644,ZFP57,True,12.0,1.0,True,True
ZNF266-1,ENSG00000174652,ZNF266,ENSG00000174652,ZNF266,True,12.0,1.0,True,True
ZNF266-2,ENSG00000174652,ZNF266,ENSG00000174652,ZNF266,True,12.0,1.0,True,True
ZNF430-1,ENSG00000118620,ZNF430,ENSG00000118620,ZNF430,True,12.0,1.0,True,True
ZNF430-2,ENSG00000118620,ZNF430,ENSG00000118620,ZNF430,True,12.0,1.0,True,True
ZNF470-1,ENSG00000197016,ZNF470,ENSG00000197016,ZNF470,True,12.0,1.0,True,True
ZNF470-2,ENSG00000197016,ZNF470,ENSG00000197016,ZNF470,True,12.0,1.0,True,True
ZNF485-1,ENSG00000198298,ZNF485,ENSG00000198298,ZNF485,True,12.0,1.0,True,True
ZNF485-2,ENSG00000198298,ZNF485,ENSG00000198298,ZNF485,True,12.0,1.0,True,True
ZNF514-1,ENSG00000144026,ZNF514,ENSG00000144026,ZNF514,True,12.0,1.0,True,True
ZNF514-2,ENSG00000144026,ZNF514,ENSG00000144026,ZNF514,True,12.0,1.0,True,True
ZNF674-1,ENSG00000251192,ZNF674,ENSG00000251192,ZNF674,True,12.0,1.0,True,True
ZNF674-2,ENSG00000251192,ZNF674,ENSG00000251192,ZNF674,True,12.0,1.0,True,True
ZNF839-1,ENSG00000022976,ZNF839,ENSG00000022976,ZNF839,True,12.0,1.0,True,True
ZNF839-2,ENSG00000022976,ZNF839,ENSG00000022976,ZNF839,True,12.0,1.0,True,True
