culture_condition,stratum,score_name,coverage,selected_k,risk_tie_average,risk_best_legal_tie_order,risk_worst_legal_tie_order
Stim48hr,all_200,disagreement_only,0.90000000000000013,181,0.12293313650920368,0.12293313650920368,0.12293313650920368
Stim48hr,all_200,disagreement_only,0.94999999999999996,190,0.12575035197351261,0.12575035197351261,0.12575035197351261
Stim48hr,all_200,disagreement_only,1,200,0.12546836589682522,0.12546836589682522,0.12546836589682522
Stim48hr,all_200,support_only,0.20000000000000001,40,0.12742308123362339,0.077781636620271932,0.21354089824202971
Stim48hr,all_200,support_only,0.25,50,0.12742308123362339,0.080103435271242945,0.19750389053722983
Stim48hr,all_200,support_only,0.30000000000000004,61,0.12742308123362339,0.082912243994171658,0.18421637509024663
Stim48hr,all_200,support_only,0.35000000000000003,70,0.12742308123362339,0.085177187187636075,0.17542508237970339
Stim48hr,all_200,support_only,0.40000000000000002,80,0.12742308123362339,0.087679251125072064,0.16716691134217476
Stim48hr,all_200,support_only,0.45000000000000001,90,0.12742308123362342,0.090088191453338948,0.16028099882494687
Stim48hr,all_200,support_only,0.5,100,0.12742308123362339,0.092707612184482868,0.15428533341428766
Stim48hr,all_200,support_only,0.55000000000000004,111,0.12742308123362339,0.095867493974477594,0.14840402169827727
Stim48hr,all_200,support_only,0.60000000000000009,121,0.12742308123362339,0.099048341548878885,0.14350778585053656
Stim48hr,all_200,support_only,0.65000000000000002,130,0.12742308123362342,0.10238848921380091,0.13956664948101374
Stim48hr,all_200,support_only,0.69999999999999996,140,0.12742308123362339,0.10665635209557109,0.13539578723991696
Stim48hr,all_200,support_only,0.75,150,0.12742308123362339,0.11339654096718865,0.13142083298119817
Stim48hr,all_200,support_only,0.80000000000000004,160,0.12742308123362339,0.12742308123362339,0.12742308123362339
Stim48hr,all_200,support_only,0.85000000000000009,171,0.12679437162237253,0.12437640852535727,0.12989254508491876
Stim48hr,all_200,support_only,0.90000000000000013,181,0.12628913034763553,0.12317631707422716,0.12932822028867572
Stim48hr,all_200,support_only,0.94999999999999996,190,0.12587988491509852,0.12318837967633522,0.12792614797897198
Stim48hr,all_200,support_only,1,200,0.12546836589682525,0.12546836589682525,0.12546836589682525
Stim48hr,all_200,context_only,0.20000000000000001,40,0.12546836589682525,0.075702193661030967,0.21927532554155907
