test_index,condition,gene_a,gene_b,score_name,raw_value,analysis_score,raw_orientation,analysis_orientation,estimability_before_truth,direction_frozen_before_E163
19,GATA2+RCOR1,GATA2,RCOR1,min_single_cell_count_confidence,47,3.8712010109078907,higher_singleton_cell_support,higher_expected_accuracy,estimable,True
19,GATA2+RCOR1,GATA2,RCOR1,min_train_pair_degree_confidence,5,1.791759469228055,higher_train_pair_degree,higher_expected_accuracy,estimable,True
19,GATA2+RCOR1,GATA2,RCOR1,matching_se_pca10_confidence,0.26548184845030359,-0.26548184845030359,higher_uncertainty,higher_expected_accuracy,estimable,True
19,GATA2+RCOR1,GATA2,RCOR1,matching_se_gene_confidence,0.040354197101920633,-0.040354197101920633,higher_uncertainty,higher_expected_accuracy,estimable_sensitivity,True
19,GATA2+RCOR1,GATA2,RCOR1,matching_magnitude_confidence,0.059718290426277507,-0.059718290426277507,higher_effect_size,higher_expected_accuracy,estimable,True
19,GATA2+RCOR1,GATA2,RCOR1,hash_random_confidence,0.1927610482113328,0.1927610482113328,random_no_semantic_direction,higher_expected_accuracy,estimable_negative_control,True
19,GATA2+RCOR1,GATA2,RCOR1,constant_confidence,0,0,constant,higher_expected_accuracy,constant_non_estimable,True
19,GATA2+RCOR1,GATA2,RCOR1,exact_pair_support_confidence,0,0,higher_exact_pair_support,higher_expected_accuracy,constant_non_estimable_by_design,True
20,GFI1+GSE1,GFI1,GSE1,min_single_cell_count_confidence,74,4.3174881135363101,higher_singleton_cell_support,higher_expected_accuracy,estimable,True
20,GFI1+GSE1,GFI1,GSE1,min_train_pair_degree_confidence,4,1.6094379124341003,higher_train_pair_degree,higher_expected_accuracy,estimable,True
20,GFI1+GSE1,GFI1,GSE1,matching_se_pca10_confidence,0.23151727719722509,-0.23151727719722509,higher_uncertainty,higher_expected_accuracy,estimable,True
20,GFI1+GSE1,GFI1,GSE1,matching_se_gene_confidence,0.033655510625189192,-0.033655510625189192,higher_uncertainty,higher_expected_accuracy,estimable_sensitivity,True
20,GFI1+GSE1,GFI1,GSE1,matching_magnitude_confidence,0.11745236205792883,-0.11745236205792883,higher_effect_size,higher_expected_accuracy,estimable,True
20,GFI1+GSE1,GFI1,GSE1,hash_random_confidence,0.089637949309795684,0.089637949309795684,random_no_semantic_direction,higher_expected_accuracy,estimable_negative_control,True
20,GFI1+GSE1,GFI1,GSE1,constant_confidence,0,0,constant,higher_expected_accuracy,constant_non_estimable,True
20,GFI1+GSE1,GFI1,GSE1,exact_pair_support_confidence,0,0,higher_exact_pair_support,higher_expected_accuracy,constant_non_estimable_by_design,True
21,GFI1+INTS1,GFI1,INTS1,min_single_cell_count_confidence,74,4.3174881135363101,higher_singleton_cell_support,higher_expected_accuracy,estimable,True
21,GFI1+INTS1,GFI1,INTS1,min_train_pair_degree_confidence,4,1.6094379124341003,higher_train_pair_degree,higher_expected_accuracy,estimable,True
21,GFI1+INTS1,GFI1,INTS1,matching_se_pca10_confidence,0.20302922418167946,-0.20302922418167946,higher_uncertainty,higher_expected_accuracy,estimable,True
21,GFI1+INTS1,GFI1,INTS1,matching_se_gene_confidence,0.029835935019067554,-0.029835935019067554,higher_uncertainty,higher_expected_accuracy,estimable_sensitivity,True
21,GFI1+INTS1,GFI1,INTS1,matching_magnitude_confidence,0.078438527365267741,-0.078438527365267741,higher_effect_size,higher_expected_accuracy,estimable,True
21,GFI1+INTS1,GFI1,INTS1,hash_random_confidence,0.43154605739427254,0.43154605739427254,random_no_semantic_direction,higher_expected_accuracy,estimable_negative_control,True
21,GFI1+INTS1,GFI1,INTS1,constant_confidence,0,0,constant,higher_expected_accuracy,constant_non_estimable,True
21,GFI1+INTS1,GFI1,INTS1,exact_pair_support_confidence,0,0,higher_exact_pair_support,higher_expected_accuracy,constant_non_estimable_by_design,True
22,GFI1+RCOR1,GFI1,RCOR1,min_single_cell_count_confidence,61,4.1271343850450917,higher_singleton_cell_support,higher_expected_accuracy,estimable,True
