scope,target,method,budget,n_tasks,spearman,utility,capture,remaining_relative_error
all,hepg2,M,0.1,480,0.7454469203425361,0.686736917572673,0.15109832303893841,0.9432240855122908
all,hepg2,M,0.2,480,0.7454469203425361,0.7474562253120954,0.2843715670033897,0.8945355412457628
all,hepg2,M,0.3,480,0.7454469203425361,0.7765692052883627,0.4034705104567475,0.8521849850617893
all,hepg2,M+D,0.1,480,0.7384292616527978,0.6448771611153995,0.14798364651136017,0.9466848372096
all,hepg2,M+D,0.2,480,0.7384292616527978,0.7288727761298327,0.2822738993745186,0.8971576257818518
all,hepg2,M+D,0.3,480,0.7384292616527978,0.7213455596647709,0.3961124813679764,0.8626964551886053
all,hepg2,M+G,0.1,480,0.7801234219277634,0.7669310048739058,0.15706535826578363,0.9365940463713516
all,hepg2,M+G,0.2,480,0.7801234219277634,0.8065651894142977,0.29104368472261477,0.8861953940967315
all,hepg2,M+G,0.3,480,0.7801234219277634,0.7835898270924856,0.40440594198924895,0.8508486543010729
all,hepg2,M+H,0.1,480,0.7546373519966098,0.7212524987755989,0.15366653842543276,0.9403705128606303
all,hepg2,M+H,0.2,480,0.7546373519966098,0.7724345323990867,0.28719107514132963,0.891011156073338
all,hepg2,M+H,0.3,480,0.7546373519966098,0.749979965549298,0.39992774544659454,0.8572460779334364
all,hepg2,M+N,0.1,480,0.7571766630294688,0.6262123089486918,0.14659484299565648,0.9482279522270485
all,hepg2,M+N,0.2,480,0.7571766630294688,0.7512838774480931,0.28480362576177803,0.8939954677977775
all,hepg2,M+N,0.3,480,0.7571766630294688,0.713314251310406,0.3950423854004791,0.8642251637136014
all,hepg2,M+C,0.1,480,0.7643710922061282,0.7066337569296237,0.15257879554434695,0.9415791160618368
all,hepg2,M+C,0.2,480,0.7643710922061282,0.7577303462664402,0.2855312920215852,0.8930858849730184
all,hepg2,M+C,0.3,480,0.7643710922061282,0.7869719586977565,0.4048565790750954,0.850204887035578
all,hepg2,E230,0.1,480,0.7824412236023642,0.7455557120871805,0.15547487785338845,0.9383612468295683
all,hepg2,E230,0.2,480,0.7824412236023642,0.8093339132626358,0.29135621348586965,0.8858047331426631
all,hepg2,E230,0.3,480,0.7824412236023642,0.7546652996296848,0.40055202195106654,0.8563542543556194
all,hepg2,E232,0.1,480,0.7806255669512459,0.741446682827926,0.1551691355828142,0.9387009604635398
all,hepg2,E232,0.2,480,0.7806255669512459,0.8056655812054281,0.2909421385026475,0.8863223268716907
all,hepg2,E232,0.3,480,0.7806255669512459,0.77748393104867,0.4035923890230135,0.8520108728242665
all,jurkat,M,0.1,481,0.6871140690642767,0.7462447055109867,0.15004421526777031,0.9463628066115798
all,jurkat,M,0.2,481,0.6871140690642767,0.7502541577879633,0.27376773744182237,0.909681558048134
all,jurkat,M,0.3,481,0.6871140690642767,0.7461318777562744,0.38779264770323224,0.8764039775438848
all,jurkat,M+D,0.1,481,0.7063367324746065,0.7429589242745561,0.14983210480195355,0.9465989759033805
all,jurkat,M+D,0.2,481,0.7063367324746065,0.7450811923789117,0.27327058022443584,0.9103042992501207
