method,baseline,budget,metric,delta,ci95_lower,ci95_upper,positive_studies,n_studies
M,M,0.3,utility,0.0,0.0,0.0,0,4
M,M,0.3,capture,0.0,0.0,0.0,0,4
M,M,0.3,spearman,0.0,0.0,0.0,0,4
M,M,0.3,remaining_relative_error,0.0,0.0,0.0,0,4
MD,M,0.3,utility,-0.006757823562734494,-0.022176116306702257,0.004105941101233496,2,4
MD,M,0.3,capture,-0.00030926977488052176,-0.0012440242630153558,0.0004334842050744414,2,4
MD,M,0.3,spearman,0.0055302072688279275,0.0003876931035518838,0.01057754417709185,3,4
MD,M,0.3,remaining_relative_error,0.0002824476792724073,-0.0007802226520428057,0.0015387423038439318,2,4
MDH,M,0.3,utility,-0.0034801882785008287,-0.018466437607931166,0.005721254016606198,3,4
MDH,M,0.3,capture,6.0289714089972746e-05,-0.001119051500113405,0.0011504609107325647,3,4
