source_id,source_label,source_status,record_id,dataset_name,dataset_family,fold_id,split,context,perturbation,predictor_name,true_error_rmse,score_name,score_type,score_value
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::PPIA+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,PPIA+ctrl,GEARS,0.0350970067083835,gears_uncertainty_confidence,confidence,0.1950786079373577
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::PPIA+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,PPIA+ctrl,GEARS,0.0350970067083835,gears_prediction_magnitude_risk,risk,1.584758758544922
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::PSAP+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,PSAP+ctrl,GEARS,0.0305460002273321,gears_uncertainty_confidence,confidence,0.1925164661870244
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::PSAP+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,PSAP+ctrl,GEARS,0.0305460002273321,gears_prediction_magnitude_risk,risk,1.5215388536453247
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::PTMA+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,PTMA+ctrl,GEARS,0.0370484665036201,gears_uncertainty_confidence,confidence,0.191921794592748
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::PTMA+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,PTMA+ctrl,GEARS,0.0370484665036201,gears_prediction_magnitude_risk,risk,1.5644936561584473
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::RB1+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,RB1+ctrl,GEARS,0.0323641672730445,gears_uncertainty_confidence,confidence,0.1898182340160386
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::RB1+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,RB1+ctrl,GEARS,0.0323641672730445,gears_prediction_magnitude_risk,risk,1.4813579320907593
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::RNASEH2A+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,RNASEH2A+ctrl,GEARS,0.049085896462202,gears_uncertainty_confidence,confidence,0.190799972329168
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::RNASEH2A+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,RNASEH2A+ctrl,GEARS,0.049085896462202,gears_prediction_magnitude_risk,risk,1.9748409986495967
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::SAT1+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,SAT1+ctrl,GEARS,0.0325564220547676,gears_uncertainty_confidence,confidence,0.2278752796945579
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::SAT1+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,SAT1+ctrl,GEARS,0.0325564220547676,gears_prediction_magnitude_risk,risk,1.5617254972457886
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::SCARB2+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,SCARB2+ctrl,GEARS,0.0336692966520786,gears_uncertainty_confidence,confidence,0.1934573799275286
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::SCARB2+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,SCARB2+ctrl,GEARS,0.0336692966520786,gears_prediction_magnitude_risk,risk,1.5564900636672974
GEARS_FRANGIEH_62,Frangieh third-predictor run03,supplement_probe_existing,GEARS::frangieh::seed1::single::SPESP1+ctrl,frangieh,gears_supplement,1,test,GEARS_single_heldout,SPESP1+ctrl,GEARS,0.0316908024251461,gears_uncertainty_confidence,confidence,0.1905469187644174
