model,heldout_dataset,fold_id,endpoint,n_tasks,spearman
hist_leaf7_l2_10,Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,error_centered_cosine_mean,69,0.45689434262234885
hist_leaf7_l2_10,Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,direction_error_rank_target,69,0.46332507013156
hist_leaf7_l2_10,Liang,Liang_context_holdout_1_DM2_1,error_centered_pearson_mean,68,0.013781463415667747
hist_leaf7_l2_10,Liang,Liang_context_holdout_1_DM2_1,error_centered_cosine_mean,68,0.018074993047252692
hist_leaf7_l2_10,Liang,Liang_context_holdout_1_DM2_1,direction_error_rank_target,68,0.012852818861283727
hist_leaf7_l2_10,Liang,Liang_context_holdout_2_DM2_2,error_centered_pearson_mean,68,-0.3043099245882988
hist_leaf7_l2_10,Liang,Liang_context_holdout_2_DM2_2,error_centered_cosine_mean,68,-0.30095523376539424
hist_leaf7_l2_10,Liang,Liang_context_holdout_2_DM2_2,direction_error_rank_target,68,-0.3038467525499382
hist_leaf7_l2_10,Liang,Liang_context_holdout_3_DM2_3,error_centered_pearson_mean,68,0.3621760783199614
hist_leaf7_l2_10,Liang,Liang_context_holdout_3_DM2_3,error_centered_cosine_mean,68,0.3616016819174662
hist_leaf7_l2_10,Liang,Liang_context_holdout_3_DM2_3,direction_error_rank_target,68,0.36453194304908554
hist_leaf7_l2_10,Liang,Liang_context_holdout_4_DM2_4,error_centered_pearson_mean,68,0.1296403306112907
hist_leaf7_l2_10,Liang,Liang_context_holdout_4_DM2_4,error_centered_cosine_mean,68,0.14076768060171174
hist_leaf7_l2_10,Liang,Liang_context_holdout_4_DM2_4,direction_error_rank_target,68,0.13814710932202132
hist_leaf7_l2_10,Liang,Liang_context_holdout_5_DM2_5,error_centered_pearson_mean,68,-0.25859470525939454
hist_leaf7_l2_10,Liang,Liang_context_holdout_5_DM2_5,error_centered_cosine_mean,68,-0.24582199580974876
hist_leaf7_l2_10,Liang,Liang_context_holdout_5_DM2_5,direction_error_rank_target,68,-0.25260346203984657
hist_leaf7_l2_10,Liang,Liang_context_holdout_6_DM2_6,error_centered_pearson_mean,68,0.4104689092756266
hist_leaf7_l2_10,Liang,Liang_context_holdout_6_DM2_6,error_centered_cosine_mean,68,0.402117733087096
hist_leaf7_l2_10,Liang,Liang_context_holdout_6_DM2_6,direction_error_rank_target,68,0.4085126329363819
hist_leaf7_l2_10,Liang,Liang_context_holdout_7_EM2_1,error_centered_pearson_mean,68,0.2818897669401489
hist_leaf7_l2_10,Liang,Liang_context_holdout_7_EM2_1,error_centered_cosine_mean,68,0.29088584074900364
hist_leaf7_l2_10,Liang,Liang_context_holdout_7_EM2_1,direction_error_rank_target,68,0.28810460369258795
hist_leaf7_l2_10,Liang,Liang_context_holdout_8_EM2_2,error_centered_pearson_mean,68,0.35916880529236983
hist_leaf7_l2_10,Liang,Liang_context_holdout_8_EM2_2,error_centered_cosine_mean,68,0.354181692017227
hist_leaf7_l2_10,Liang,Liang_context_holdout_8_EM2_2,direction_error_rank_target,68,0.3558427594620785
hist_leaf7_l2_10,Liang,Liang_context_holdout_9_EM2_3,error_centered_pearson_mean,68,0.32569618951348206
