target,history_mode,fraction,seed,k_sources,scope,method,budget,spearman,n_tasks,coverage,utility,capture,remaining_relative_error
K562,fraction,0.25,23,1,all,m_plus_d,0.3,0.9083987667838475,580,0.8051724137931034,0.9334980490641323,0.43176792676671916,0.8117601046189726
K562,fraction,0.25,23,1,all,m_plus_history,0.1,0.903692784580049,580,0.8051724137931034,0.9127877821532182,0.1747773216237461,0.9169140870847265
K562,fraction,0.25,23,1,all,m_plus_history,0.2,0.903692784580049,580,0.8051724137931034,0.9223988491801879,0.309778827937339,0.8627764650783262
K562,fraction,0.25,23,1,all,m_plus_history,0.3,0.903692784580049,580,0.8051724137931034,0.9290004259615612,0.4311330647311766,0.8126670503840334
K562,fraction,0.25,23,2,primary,magnitude,0.1,0.8992579621117099,566,0.9734982332155477,0.9485480829802301,0.17442893552854094,0.9180220481156106
K562,fraction,0.25,23,2,primary,magnitude,0.2,0.8992579621117099,566,0.9734982332155477,0.9337696931035814,0.309072757502704,0.8651876532156406
K562,fraction,0.25,23,2,primary,magnitude,0.3,0.8992579621117099,566,0.9734982332155477,0.9284130420476459,0.4280297491015706,0.8175130353750278
K562,fraction,0.25,23,2,primary,disagreement,0.1,0.5338684397879495,566,0.9734982332155477,0.4711404345877028,0.13732427720882315,0.9592818449897959
K562,fraction,0.25,23,2,primary,disagreement,0.2,0.5338684397879495,566,0.9734982332155477,0.46874366260095063,0.25545740543170825,0.9323254613399407
K562,fraction,0.25,23,2,primary,disagreement,0.3,0.5338684397879495,566,0.9734982332155477,0.5270583998901305,0.3728350131521123,0.8964024812017787
K562,fraction,0.25,23,2,primary,history_risk,0.1,0.4801996217425093,566,0.9734982332155477,0.4328287811119012,0.13434665249612845,0.9625929168707098
K562,fraction,0.25,23,2,primary,history_risk,0.2,0.4801996217425093,566,0.9734982332155477,0.48294521256475814,0.25709477850615825,0.9302751224900762
K562,fraction,0.25,23,2,primary,history_risk,0.3,0.4801996217425093,566,0.9734982332155477,0.5120354412612752,0.37076903920388055,0.89935536315809
K562,fraction,0.25,23,2,primary,m_plus_d,0.1,0.9082345831777897,566,0.9734982332155477,0.8945595607747561,0.17023288698100375,0.9226879881507895
K562,fraction,0.25,23,2,primary,m_plus_d,0.2,0.9082345831777897,566,0.9734982332155477,0.9176881784190825,0.30721863318473336,0.8675094106580552
K562,fraction,0.25,23,2,primary,m_plus_d,0.3,0.9082345831777897,566,0.9734982332155477,0.9288693703822125,0.4280925038807287,0.8174233404128978
K562,fraction,0.25,23,2,primary,m_plus_history,0.1,0.9084468292560636,566,0.9734982332155477,0.9323964656328406,0.17317361369822756,0.91941794626091
K562,fraction,0.25,23,2,primary,m_plus_history,0.2,0.9084468292560636,566,0.9734982332155477,0.9387416077956146,0.30964599628762146,0.8644698365070934
K562,fraction,0.25,23,2,primary,m_plus_history,0.3,0.9084468292560636,566,0.9734982332155477,0.9439036560143105,0.4301600355310209,0.8144682320440458
K562,fraction,0.25,23,2,all,magnitude,0.1,0.900131032822169,580,0.9706896551724138,0.9609857583039885,0.17872579205105382,0.9125268977210513
K562,fraction,0.25,23,2,all,magnitude,0.2,0.900131032822169,580,0.9706896551724138,0.9330814158108366,0.311050208148966,0.8611872398137925
K562,fraction,0.25,23,2,all,magnitude,0.3,0.900131032822169,580,0.9706896551724138,0.9314668231235753,0.4314812090480798,0.8121697013598861
K562,fraction,0.25,23,2,all,disagreement,0.1,0.5355092797746026,580,0.9706896551724138,0.4508587715970891,0.13693521323332467,0.9589608741851948
K562,fraction,0.25,23,2,all,disagreement,0.2,0.5355092797746026,580,0.9706896551724138,0.4826523495050408,0.25744262287074454,0.9281967214115693
K562,fraction,0.25,23,2,all,disagreement,0.3,0.5355092797746026,580,0.9706896551724138,0.515330005529611,0.37274141225832785,0.8960836967738174
