source_fraction,repeat_seed,source_n_tasks_used,n_target_tasks,spearman_vs_error,top20_error_enrichment,top20_k,mean_error_combined_rmse,mean_source_support,shared_perturbation_tasks,pair_group,source_dataset,target_dataset,directional_pair,n_common_genes,source_n_tasks_full,target_n_tasks_full
0.75,2,6,8,0.6666666666666669,1.2824976927476974,2,0.053191096715672584,6.0,8,immune_same_system,kangCrossCell_celltype,kangCrossPatient_celltype,kangCrossCell_celltype -> kangCrossPatient_celltype,1000,8,8
0.75,3,6,8,0.7857142857142858,1.3091821188040431,2,0.050730001709232135,6.0,8,immune_same_system,kangCrossCell_celltype,kangCrossPatient_celltype,kangCrossCell_celltype -> kangCrossPatient_celltype,1000,8,8
0.75,4,6,8,0.7142857142857144,1.2604753111655633,2,0.05250555334030488,6.0,8,immune_same_system,kangCrossCell_celltype,kangCrossPatient_celltype,kangCrossCell_celltype -> kangCrossPatient_celltype,1000,8,8
0.75,5,6,8,0.9047619047619048,1.6413725305434632,2,0.05195672754785713,6.0,8,immune_same_system,kangCrossCell_celltype,kangCrossPatient_celltype,kangCrossCell_celltype -> kangCrossPatient_celltype,1000,8,8
0.75,6,6,8,0.6190476190476191,1.2637034280576083,2,0.05318140292624212,6.0,8,immune_same_system,kangCrossCell_celltype,kangCrossPatient_celltype,kangCrossCell_celltype -> kangCrossPatient_celltype,1000,8,8
0.75,7,6,8,0.5000000000000001,1.0288283223389691,2,0.05350833360381195,6.0,8,immune_same_system,kangCrossCell_celltype,kangCrossPatient_celltype,kangCrossCell_celltype -> kangCrossPatient_celltype,1000,8,8
1.0,0,8,8,0.9761904761904763,1.3319420087786193,2,0.04604222379097217,8.0,8,immune_same_system,kangCrossCell_celltype,kangCrossPatient_celltype,kangCrossCell_celltype -> kangCrossPatient_celltype,1000,8,8
0.25,0,6,42,0.6123012129623068,1.3249764342750174,9,0.218456283503146,0.0,0,hard_chemical_positive,KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype -> McFarland_cellline,1000,24,42
0.25,1,6,42,0.5771459596466477,1.3802247085181758,9,0.20352124135184918,0.0,0,hard_chemical_positive,KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype -> McFarland_cellline,1000,24,42
0.25,2,6,42,0.1306242587652921,1.0205359470273028,9,0.19228167236218102,0.0,0,hard_chemical_positive,KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype -> McFarland_cellline,1000,24,42
0.25,3,6,42,0.09405279856250943,0.9741467040810409,9,0.1578192720890042,0.0,0,hard_chemical_positive,KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype -> McFarland_cellline,1000,24,42
0.25,4,6,42,0.5953900366043001,1.2437092960087388,9,0.23392635719323543,0.0,0,hard_chemical_positive,KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype -> McFarland_cellline,1000,24,42
0.25,5,6,42,0.5988889006783705,1.4453520128786603,9,0.18819121080296433,0.0,0,hard_chemical_positive,KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype -> McFarland_cellline,1000,24,42
0.25,6,6,42,0.5331602398583352,1.284510621641391,9,0.2404545712961034,0.0,0,hard_chemical_positive,KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype -> McFarland_cellline,1000,24,42
0.25,7,6,42,0.16744563783050836,1.038102629309438,9,0.17103763585609247,0.0,0,hard_chemical_positive,KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype -> McFarland_cellline,1000,24,42
0.5,0,12,42,0.6194655536854031,1.3651773979760926,9,0.2095616444088821,0.0,0,hard_chemical_positive,KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype -> McFarland_cellline,1000,24,42
0.5,1,12,42,0.6092188803256258,1.3065288727094706,9,0.21972255705799965,0.0,0,hard_chemical_positive,KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype -> McFarland_cellline,1000,24,42
0.5,2,12,42,0.09355296083764224,1.0378104543178024,9,0.17033554116653085,0.0,0,hard_chemical_positive,KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype -> McFarland_cellline,1000,24,42
0.5,3,12,42,0.5790620042586386,1.260345125639129,9,0.2410280125591026,0.0,0,hard_chemical_positive,KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype -> McFarland_cellline,1000,24,42
0.5,4,12,42,0.12495943121679728,1.0318364385422578,9,0.1754545868781831,0.0,0,hard_chemical_positive,KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype -> McFarland_cellline,1000,24,42
0.5,5,12,42,0.12337661175471785,1.0286987013529958,9,0.16659894769663255,0.0,0,hard_chemical_positive,KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype -> McFarland_cellline,1000,24,42
0.5,6,12,42,0.24641999835952427,1.0500738735366955,9,0.20038138403568834,0.0,0,hard_chemical_positive,KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype -> McFarland_cellline,1000,24,42
0.5,7,12,42,0.5988055943908926,1.343748086006344,9,0.21812507598417058,0.0,0,hard_chemical_positive,KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype -> McFarland_cellline,1000,24,42
0.75,0,18,42,0.6066363854138119,1.3835028631281099,9,0.19511025753781666,0.0,0,hard_chemical_positive,KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype -> McFarland_cellline,1000,24,42
0.75,1,18,42,0.1605312159698456,1.045928692721392,9,0.17891864511952388,0.0,0,hard_chemical_positive,KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype -> McFarland_cellline,1000,24,42
0.75,2,18,42,0.6122179066748289,1.401661055998055,9,0.19470727238335273,0.0,0,hard_chemical_positive,KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype -> McFarland_cellline,1000,24,42
0.75,3,18,42,0.6099686369129266,1.3370909524969665,9,0.20896086422686747,0.0,0,hard_chemical_positive,KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype -> McFarland_cellline,1000,24,42
0.75,4,18,42,0.5971394686413354,1.3728450462836415,9,0.2007375058544325,0.0,0,hard_chemical_positive,KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype -> McFarland_cellline,1000,24,42
0.75,5,18,42,0.18693930910032874,1.0489479680638452,9,0.18207393126967636,0.0,0,hard_chemical_positive,KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype -> McFarland_cellline,1000,24,42
0.75,6,18,42,0.17227740250422452,1.0426735401596998,9,0.177138283792258,0.0,0,hard_chemical_positive,KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype -> McFarland_cellline,1000,24,42
0.75,7,18,42,0.6132175821245632,1.3477951356652491,9,0.20910668598126522,0.0,0,hard_chemical_positive,KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype -> McFarland_cellline,1000,24,42
1.0,0,24,42,0.6053034848141661,1.3647372450295845,9,0.20152810115928585,0.0,0,hard_chemical_positive,KaggleCrossCell_celltype,McFarland_cellline,KaggleCrossCell_celltype -> McFarland_cellline,1000,24,42
0.25,0,7,24,0.07362659452178553,1.2761059025413086,5,0.11702350816152578,0.0,0,hard_chemical_mixed,sciplex3_cellline,KaggleCrossCell_celltype,sciplex3_cellline -> KaggleCrossCell_celltype,566,27,24
0.25,1,7,24,0.12713163526121976,1.289495450355691,5,0.11632628045205033,0.0,0,hard_chemical_mixed,sciplex3_cellline,KaggleCrossCell_celltype,sciplex3_cellline -> KaggleCrossCell_celltype,566,27,24
0.25,2,7,24,0.10883931364090037,1.2812961086095986,5,0.11788191017883694,0.0,0,hard_chemical_mixed,sciplex3_cellline,KaggleCrossCell_celltype,sciplex3_cellline -> KaggleCrossCell_celltype,566,27,24
0.25,3,7,24,0.4874903711815118,1.245787502856588,5,0.13350177584691583,0.0,0,hard_chemical_mixed,sciplex3_cellline,KaggleCrossCell_celltype,sciplex3_cellline -> KaggleCrossCell_celltype,566,27,24
0.25,4,7,24,0.1403935684359513,1.26147388399704,5,0.12188531583211877,0.0,0,hard_chemical_mixed,sciplex3_cellline,KaggleCrossCell_celltype,sciplex3_cellline -> KaggleCrossCell_celltype,566,27,24
0.25,5,7,24,0.013719241215239543,0.6858117688398355,5,0.11656734071507661,0.0,0,hard_chemical_mixed,sciplex3_cellline,KaggleCrossCell_celltype,sciplex3_cellline -> KaggleCrossCell_celltype,566,27,24
0.25,6,7,24,0.26158019917056724,1.262192623159272,5,0.12293853523681475,0.0,0,hard_chemical_mixed,sciplex3_cellline,KaggleCrossCell_celltype,sciplex3_cellline -> KaggleCrossCell_celltype,566,27,24
0.25,7,7,24,0.15365550161068287,1.2308381759457798,5,0.12976462861680757,0.0,0,hard_chemical_mixed,sciplex3_cellline,KaggleCrossCell_celltype,sciplex3_cellline -> KaggleCrossCell_celltype,566,27,24
0.5,0,14,24,0.10380892519531254,1.2681142722706105,5,0.1197051270891208,0.0,0,hard_chemical_mixed,sciplex3_cellline,KaggleCrossCell_celltype,sciplex3_cellline -> KaggleCrossCell_celltype,566,27,24
0.5,1,14,24,0.10883931364090037,1.3000538436302336,5,0.11336920546614837,0.0,0,hard_chemical_mixed,sciplex3_cellline,KaggleCrossCell_celltype,sciplex3_cellline -> KaggleCrossCell_celltype,566,27,24
0.5,2,14,24,0.10883931364090037,1.2887086708279176,5,0.11540398685375537,0.0,0,hard_chemical_mixed,sciplex3_cellline,KaggleCrossCell_celltype,sciplex3_cellline -> KaggleCrossCell_celltype,566,27,24
0.5,3,14,24,0.2748421323452988,1.2681603821610987,5,0.12294013534783532,0.0,0,hard_chemical_mixed,sciplex3_cellline,KaggleCrossCell_celltype,sciplex3_cellline -> KaggleCrossCell_celltype,566,27,24
