dataset,fold_id,setting,train_fraction,rule,n_tasks,spearman,utility_20,capture_20,remaining_error_80,outer_heldout_study
Cui_direct41,Cui_direct_context_holdout_3_T_cell_CD4,context_and_perturbation_unseen,0.5,fixed_80m_20s,9,-0.09999999999999999,-0.31368905136123226,0.19909681099088403,0.11898814694230501,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_3_T_cell_CD4,context_and_perturbation_unseen,0.75,fixed_80m_20s,9,0.6166666666666666,-0.14641969317195655,0.21201353920174845,0.11576222352189625,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_3_T_cell_CD4,context_and_perturbation_unseen,1.0,fixed_80m_20s,9,0.5774109120414489,-0.13031559284799257,0.21306047590543112,0.11559230150516411,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_3_T_cell_CD4,context_unseen_row,0.25,fixed_80m_20s,32,0.5986070381231672,0.4124775575304761,0.24187847780071625,0.11397840598340842,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_3_T_cell_CD4,context_unseen_row,0.5,fixed_80m_20s,32,0.8966275659824047,0.920052745550062,0.26331866027454565,0.10716417229810339,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_3_T_cell_CD4,context_unseen_row,0.75,fixed_80m_20s,32,0.8722273290462896,0.9875701143079416,0.25799296363717084,0.10617835753862544,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_3_T_cell_CD4,context_unseen_row,1.0,fixed_80m_20s,32,0.8129068049616699,0.9999999999999991,0.2522607094575156,0.10249698354230001,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_3_T_cell_CD4,perturbation_unseen_column,0.25,fixed_80m_20s,45,-0.3108036890645586,-0.3171616994440821,0.174201984167943,0.11382649585488844,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_3_T_cell_CD4,perturbation_unseen_column,0.5,fixed_80m_20s,45,-0.07654808959156784,-0.1640209625593456,0.1875868426593067,0.11173350664194988,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_3_T_cell_CD4,perturbation_unseen_column,0.75,fixed_80m_20s,45,0.09088213836813089,0.060737369190060904,0.20438891569786227,0.10778554258064774,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_3_T_cell_CD4,perturbation_unseen_column,1.0,fixed_80m_20s,45,0.2100200930023697,0.18374687406234938,0.21341325952536988,0.10605330440325429,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_3_T_cell_CD4,random_missing_pair,0.25,fixed_80m_20s,16,0.43529411764705883,0.6693544049754911,0.263612052296486,0.10325463036879723,Cui_direct41
Cui_direct41,Cui_direct_context_holdout_3_T_cell_CD4,random_missing_pair,0.5,fixed_80m_20s,16,0.5434468338468038,0.5807393742145822,0.26944682311394047,0.10377715764380413,Cui_direct41
