fold_id,task_key,model_disagreement_rmse,model_disagreement_cosine
0,ACH-000139||Pralsetinib@0.05uM,0.16353627147689156,0.29851020739234135
4,ACH-000178||Afatinib@0.5uM,0.15107046175741554,0.35788249176223796
4,ACH-000236||Pyridoxine (hydrochloride)@5.0uM,0.25408441354156813,0.09197929223325596
4,ACH-000236||Riluzole hydrochloride@5.0uM,0.1277267255879255,0.030174033959523006
4,ACH-000236||Ritonavir@5.0uM,0.20898570861042937,0.06822312556805155
4,ACH-000236||S-Adenosyl-L-methionine (disulfate tosylate)@5.0uM,0.12230521557632197,0.11167646585917501
4,ACH-000236||Triclosan@5.0uM,0.13095923709632518,0.10842733759690981
4,ACH-000311||Docetaxel@5.0uM,0.1463511774267893,0.16803123669824016
4,ACH-000311||Furosemide@5.0uM,0.10344823217103916,0.2028730967155501
4,ACH-000311||Fusidic acid@5.0uM,0.10373465029610651,0.17879519765075935
4,ACH-000311||Resveratrol@5.0uM,0.11497026488765127,0.07540027554366435
4,ACH-000311||S-Adenosyl-L-methionine (disulfate tosylate)@5.0uM,0.12230521557632197,0.11167646585917501
4,ACH-000311||Saquinavir@5.0uM,0.11266765448247182,0.08898952188734788
4,ACH-000311||Sulfisoxazole@5.0uM,0.13091768958341127,0.18856247760245737
4,ACH-000311||Tolcapone@5.0uM,0.15149466893883326,0.15262839633625247
4,ACH-000311||Triamcinolone@5.0uM,0.11090002821033902,0.08238957485719234
4,ACH-000311||Triclosan@5.0uM,0.13095923709632518,0.10842733759690981
4,ACH-000389||Adagrasib@0.05uM,0.029032404050600532,0.016666240925742315
4,ACH-000437||Adagrasib@0.05uM,0.029032404050600532,0.016666240925742315
4,ACH-000463||Binimetinib@5.0uM,0.3075691158155556,0.1562850840240304
4,ACH-000552||Belumosudil@5.0uM,0.15989318442328665,0.23849149678755222
4,ACH-000555||Pravastatin (sodium)@0.5uM,0.0776904965879279,0.16438585763841007
4,ACH-000555||Trametinib (DMSO_TF solvate)@0.5uM,0.1956825310485847,0.27849536975156974
4,ACH-000580||Adagrasib@0.05uM,0.029032404050600532,0.016666240925742315
4,ACH-000580||Mitoxantrone (dihydrochloride)@5.0uM,0.35957505285948943,0.09954734517171804
4,ACH-000580||Relugolix@5.0uM,0.23096397817809708,0.05562961011223888
4,ACH-000580||Salicylic acid@5.0uM,0.11559228899817299,0.15048051445414123
4,ACH-000580||Selinexor @5.0uM,0.35104065966016473,0.133468307699528
4,ACH-000580||Temsirolimus@5.0uM,0.15910200510732977,0.07019471160901447
4,ACH-000580||Terfenadine@5.0uM,0.2155964599002691,0.06424343705106261
4,ACH-000580||Tofacitinib (citrate)@5.0uM,0.16574833851650375,0.04914593369464948
4,ACH-000580||Trifluridine@5.0uM,0.10475635755182372,0.08523403914333383
4,ACH-000750||Olanzapine@5.0uM,0.1357738353963773,0.009536378633466125
4,ACH-000750||Relugolix@5.0uM,0.23096397817809708,0.05562961011223888
4,ACH-000750||Rimonabant@5.0uM,0.18111679812607046,0.024707764801581655
4,ACH-000750||Selinexor @5.0uM,0.35104065966016473,0.133468307699528
4,ACH-000750||Sinomenine@5.0uM,0.13642375044553073,0.008129041654438174
4,ACH-000750||Trimetrexate@5.0uM,0.1275588097662802,0.06511102440523298
4,ACH-000750||Tucidinostat@5.0uM,0.1080620137492265,0.013292369834522977
4,ACH-000790||Docetaxel@5.0uM,0.1463511774267893,0.16803123669824016
4,ACH-000790||Pralsetinib@0.05uM,0.21026530247588965,0.368942284521962
4,ACH-000842||Binimetinib@5.0uM,0.3075691158155556,0.1562850840240304
4,ACH-000853||Tofacitinib (citrate)@5.0uM,0.16574833851650375,0.04914593369464948
4,ACH-000853||Tofacitinib@5.0uM,0.14588756352816415,0.06383105088171981
4,ACH-000890||Afatinib@5.0uM,0.16569982261620878,0.1741578471877845
4,ACH-000916||Adagrasib@0.05uM,0.029032404050600532,0.016666240925742315
4,ACH-000932||Radotinib@5.0uM,0.14605406637452956,0.028705424362619136
4,ACH-000932||Sodium Salicylate@5.0uM,0.20688650567996106,0.06884110375821961
4,ACH-000932||Tolcapone@5.0uM,0.15149466893883326,0.15262839633625247
4,ACH-000932||Trimetrexate@5.0uM,0.1275588097662802,0.06511102440523298
4,ACH-000932||Vilanterol@5.0uM,0.16615536402637215,0.1104773015525109
4,ACH-000932||Vinblastine (sulfate)@5.0uM,0.1512117861605166,0.05365108542597008
4,ACH-000940||Adagrasib@0.05uM,0.029032404050600532,0.016666240925742315
4,ACH-000950||Afatinib@5.0uM,0.16569982261620878,0.1741578471877845
4,ACH-000950||Binimetinib@5.0uM,0.3075691158155556,0.1562850840240304
4,ACH-000997||Adagrasib@0.05uM,0.029032404050600532,0.016666240925742315
4,ACH-001039||Adagrasib@0.05uM,0.029032404050600532,0.016666240925742315
4,ACH-001333||Afatinib@5.0uM,0.16569982261620878,0.1741578471877845
