condition,n_full_cells,n_half_a,n_half_b,half_a_obs_name_sha256,half_b_obs_name_sha256,interpretation,raw_pearson,raw_pearson_na_reason,raw_cosine,raw_cosine_na_reason,raw_direction_accuracy,raw_mse,raw_rmse,raw_top20_pearson,raw_top20_pearson_na_reason,raw_top20_cosine,raw_top20_cosine_na_reason,raw_top20_direction_accuracy,raw_top20_mse,raw_top20_rmse,pca10_pearson,pca10_pearson_na_reason,pca10_cosine,pca10_cosine_na_reason,pca10_direction_accuracy,pca10_mse,pca10_rmse,pca10_top20_pearson,pca10_top20_pearson_na_reason,pca10_top20_cosine,pca10_top20_cosine_na_reason,pca10_top20_direction_accuracy,pca10_top20_mse,pca10_top20_rmse
IKZF1+KDM1A,161,81,80,cfffc6f15c30355060806098301ce78cc78511095efcf8a99e6ee3ca9c3359a3,8d86cd5f7c5bc304e6755ea4be4aa160882bb79fc39bbf5ddadd1a8353a52ee9,split_half_reproducibility_benchmark_reference_not_upper_bound,0.9342618742877247,,0.9318482631345106,,0.71280276816609,0.003907435024453356,0.06250947947674301,0.9872959618821926,,0.9972122559705691,,1.0,0.01974979454970202,0.14053396226429404,0.9810501823056375,,0.9775318706727947,,0.9228868017795353,0.0014439011537864179,0.03799869936966814,0.9975715502654776,,0.9990525148401511,,1.0,0.010797493997004519,0.10391099074209868
IKZF1+MED24,116,58,58,900bc5a6a42605a6ce3a84d76a729b3d33111221c10b16d5dacfdc36f0993cb1,76150c9a4a356504152667434be315022eab7440ee006c009f984c519a672e91,split_half_reproducibility_benchmark_reference_not_upper_bound,0.8993396156578445,,0.9051289938370799,,0.7469105289174494,0.006102664918517476,0.07811955528878461,0.9855691318193196,,0.9851035191320278,,1.0,0.03491435246820749,0.18685382647462023,0.9789946219650735,,0.9801877515475629,,0.9668808699950568,0.0019319623655910932,0.04395409384336223,0.9943672865637954,,0.9943085229990731,,1.0,0.028541766313149385,0.1689430860175976
IKZF1+SMARCD1,156,78,78,b4386d4c978d435cf76c3ce9b11c85963940f4e11a60f5b0421a6b8d7c402689,0c8386743e1380832d0a57363e9a6320296401f052e8d56d6fb1661badc93e3e,split_half_reproducibility_benchmark_reference_not_upper_bound,0.7143952576861057,,0.7045359403547128,,0.6089965397923875,0.004623031430175562,0.06799287779007124,0.9736075993217185,,0.9764838921427471,,1.0,0.013254529804414168,0.11512831886384066,0.8731208828236263,,0.8525539946639019,,0.8225407810182896,0.0016717783425644031,0.04088738610579555,0.9904674307373104,,0.9906668227072983,,1.0,0.003956202644415798,0.06289835168282074
INTS1+KDM1A,462,231,231,d5888a24500d2f69f97f1b0d77a772dee58fe5752bb09eb1a81e41ee4e26f647,cbaa930ef46981d0c80ef22e664fe7c6ba4f50db090e5073855a1ebd413797b6,split_half_reproducibility_benchmark_reference_not_upper_bound,0.9805252141648039,,0.9805130223435767,,0.7701433514582303,0.0010760450523771697,0.03280312564950434,0.9986788360806974,,0.9994070136144935,,1.0,0.005600036467643326,0.07483339139477327,0.9953669914354525,,0.9952181472333177,,0.9451309935739002,0.00024622146647624546,0.015691445646473925,0.9998417510256452,,0.9998888327542889,,1.0,0.004326061364852907,0.06577280110237747
INTS1+RING1,575,288,287,3379003ef2a62297e5b26bc685bc848bf1119f2bae9ab3a27d5b66d7213fad1b,b79831008dcace227ea96a2ea84d52a921965fc0fbcd9d2af0c34773f5ee798e,split_half_reproducibility_benchmark_reference_not_upper_bound,0.9162751930443889,,0.9228198702729977,,0.7414730598121602,0.0009311952709414817,0.030515492310324632,0.9455166661136477,,0.9943804323729523,,1.0,0.0024466283708844795,0.04946340436003652,0.9607039489640208,,0.9613455519505524,,0.9164607019278299,0.00023589307727969318,0.015358811063350353,0.9933360101807324,,0.998687439127729,,1.0,0.0002802945492638094,0.016741999559903513
INTS1+SSRP1,514,257,257,1942e6b556766f19e55bbf9a301bed33a2a9914561ce92b564f7c31410f3ac8f,370016896fc019796796716a6f909afebb6cf1fe970336c5ba12ccb951b63405,split_half_reproducibility_benchmark_reference_not_upper_bound,0.8776044109343224,,0.8764129777810603,,0.7053880375679684,0.001033575069620591,0.03214926234955619,0.9963918257976705,,0.9966808686842915,,1.0,0.0008110123766573381,0.028478279032577408,0.9816736458313399,,0.9802456728444988,,0.9421651013346515,6.576429477685875e-05,0.008109518775911352,0.9913625454036478,,0.9918379141080039,,1.0,0.0007372702217473409,0.027152720337884028
KDM1A+MED24,121,61,60,f5b30c873e07c87057f2d81e2b2c404c2b96dee2288a0d04abd6b2165c349231,ef2faeb9c6be25bf5bd5bf534cc294f13dcbdf3abbb324dbbae8ca9a56957c1f,split_half_reproducibility_benchmark_reference_not_upper_bound,0.9528358035867763,,0.954802698366704,,0.7854671280276817,0.0037926858686499147,0.06158478601610884,0.995134997927302,,0.997925904508176,,1.0,0.005049144988171832,0.07105733592087331,0.995875234640733,,0.996063618172671,,0.9822046465645081,0.0003075510930054678,0.017537134686301175,0.9981216941310705,,0.999270485396587,,1.0,0.0013722210633758513,0.03704350230979586
KDM1A+SMARCD1,205,103,102,6a12af6443e701eeaae766ab3fba0a33bbc091eb2f490aa357f28b1740cfb3d8,f0f922ced718f083c36854e3a3b325b3390d9c01205978ffe74c6cba8d2cc78f,split_half_reproducibility_benchmark_reference_not_upper_bound,0.9549493611557289,,0.9547075030280733,,0.7740978744438952,0.002271946185135324,0.047664936642518724,0.9869995796239726,,0.9978866652596551,,1.0,0.009436758619577037,0.09714298028976173,0.9968469371521231,,0.9964578363278325,,0.9713297083539298,0.00022846013210032739,0.015114897687391979,0.9989836360763206,,0.9994552834952789,,1.0,0.004125730658463356,0.06423185080988525
MED13L+MED14,127,64,63,1b44888b56e025d411f350e8c8cc218532e94c0058602b5317243ad36ea50194,234c520db9796a8b408e9a6b1ed4e737a62e79d5cd2215fa07623ac3813e857e,split_half_reproducibility_benchmark_reference_not_upper_bound,0.9305522592745984,,0.9358269547775978,,0.7681660899653979,0.004736853199849751,0.0688248007614243,0.9880517840105076,,0.9869824519783997,,1.0,0.018251585334884416,0.13509842832129623,0.9949458706179056,,0.9951809703472758,,0.9792387543252595,0.0004661208225312653,0.021589831461390922,0.9992848047756768,,0.9985191294708908,,1.0,0.0037316305800034607,0.06108707375544732
MED13L+MED22,142,71,71,429a1a7be5ac91f767a1f75b32022dbadd1fac9a7e18dbad9b8b76b6b27d0a6c,d7992c6693e5ed8c67ed525a6417b308dc0ac037e29503ec3b4ae652bc2cec39,split_half_reproducibility_benchmark_reference_not_upper_bound,0.8856475567846948,,0.8877401272427604,,0.7236777063766683,0.005646428196669472,0.07514271885332252,0.9782593241316412,,0.9792908158048302,,1.0,0.024718874281760277,0.15722237207776849,0.965362710973469,,0.9599825587337483,,0.9273356401384083,0.002108052679745738,0.04591353482085362,0.9912440430846987,,0.9849421488393132,,1.0,0.016272218131395687,0.1275626047531003
