draw,predictor,delta_spearman,delta_utility_20
11,context_holdout_router,0.0888556985654455,0.0566208715251707
11,architecture_aware_router,0.06353672974679025,0.05651501490047439
11,historical_nonnegative_router,0.05555318485562177,0.05710004182490169
11,certificate_priority_q80,0.019985835858751022,-0.19727126370399312
12,context_holdout_router,0.0866212588414984,0.06221857831452948
12,architecture_aware_router,0.07316359562681818,0.06518089655663062
12,historical_nonnegative_router,0.06804454939661808,0.06458670292673452
12,certificate_priority_q80,-0.017322930167837036,-0.22082236058187849
13,context_holdout_router,0.07860728280739493,0.04704403322756223
13,architecture_aware_router,0.06845357818500653,0.043544106764025314
13,historical_nonnegative_router,0.064579661142523,0.05021035465852319
13,certificate_priority_q80,-0.024746632845426553,-0.1939675073360702
14,context_holdout_router,0.08964875544431605,0.053645218644680304
14,architecture_aware_router,0.0681710991706479,0.036563693731578195
14,historical_nonnegative_router,0.06177865625499934,0.03223708333784925
14,certificate_priority_q80,-0.013463649519550813,-0.3202388596333395
15,context_holdout_router,0.09176746330904229,0.056743136589137655
15,architecture_aware_router,0.06808989351873007,0.05124101439102979
15,historical_nonnegative_router,0.06071437529150381,0.04314754936442389
15,certificate_priority_q80,0.007539724249158386,-0.23191690870302822
16,context_holdout_router,0.08450350201994627,0.0638393798940059
16,architecture_aware_router,0.07140512867893412,0.052645054701027205
16,historical_nonnegative_router,0.06661665884239698,0.052888946378173984
16,certificate_priority_q80,-0.01348074457179227,-0.22696137893936508
17,context_holdout_router,0.08217748277255721,0.06425061466051074
17,architecture_aware_router,0.06376833994810094,0.05826268390528877
17,historical_nonnegative_router,0.05771200942096566,0.054771169214729576
17,certificate_priority_q80,-0.002010816784917324,-0.21849513527474346
18,context_holdout_router,0.08469337589045556,0.06476316930123904
18,architecture_aware_router,0.07052707533607505,0.062496606587245096
18,historical_nonnegative_router,0.06491408057444503,0.06249660658724587
18,certificate_priority_q80,-0.01481545220495084,-0.2391293043765964
19,context_holdout_router,0.08908144978123389,0.07512589226296285
19,architecture_aware_router,0.07742980100012065,0.055020777136089216
19,historical_nonnegative_router,0.0725205736606539,0.05695671978606842
19,certificate_priority_q80,0.011128060890566727,-0.21229979374352398
20,context_holdout_router,0.08071193006255095,0.07943860856942697
20,architecture_aware_router,0.06501040716985873,0.06949749751062728
20,historical_nonnegative_router,0.06028774956065619,0.06943401949175754
20,certificate_priority_q80,0.009506227028473369,-0.16857102664724438
21,context_holdout_router,0.07685829741609895,0.07410712886595439
21,architecture_aware_router,0.05601577554919834,0.06496585082254669
21,historical_nonnegative_router,0.050210511669339764,0.06587229392521865
21,certificate_priority_q80,-0.006876168114769432,-0.2558714515617765
22,context_holdout_router,0.0922283433856832,0.06824210257257868
22,architecture_aware_router,0.08943043261069761,0.05676407902975378
22,historical_nonnegative_router,0.08542515600556588,0.05052657210980327
22,certificate_priority_q80,0.026360402533010308,-0.22184622952620348
23,context_holdout_router,0.08971513621855154,0.08357942633197057
23,architecture_aware_router,0.08331926300038794,0.0746795505093013
23,historical_nonnegative_router,0.08017412498464827,0.07450042358616027
