condition,cell_type,treatment,family_disagreement,model_source_gap,source_delta_dispersion,negative_log_source_cells,support_context_deficit,predicted_magnitude,architecture_balanced_lower_bound,latent_family_disagreement,n_source_contexts,n_source_cells,safeconf,magnitude_percentile_rank,safeconf_percentile_rank,safeconf_m_4to1
MAPK14,hap1,TGFB,0.009006507090036444,0.16523064124930217,0.053522460692660874,-5.41610040220442,15.0,0.1650759759358261,0.2001687510401458,0.009006507090036444,14,224,-0.875252714711357,0.631578947368421,0.10526315789473684,0.5263157894736842
MAPK14,ht29,TGFB,0.00900651000070446,0.1313786814071869,0.053522460692660874,-5.41610040220442,15.0,0.13258936456148823,0.19466994684537192,0.00900651000070446,14,224,-0.9649823911518027,0.3684210526315789,0.05263157894736842,0.30526315789473685
MAPK14,k562,TGFB,0.009006111364860507,0.16497488496574073,0.053522460692660874,-5.41610040220442,15.0,0.16688841990808467,0.19827646700182083,0.009006111364860507,14,224,-1.350594433184144,0.3684210526315789,0.05263157894736842,0.30526315789473685
MAPK14,mcf7,TGFB,0.009006227690543015,0.17016755539154146,0.053522460692660874,-5.41610040220442,15.0,0.17024898714059802,0.20051693833442663,0.009006227690543015,14,224,-0.8580751351850647,0.9473684210526315,0.15789473684210525,0.7894736842105263
MTOR,hap1,INS,0.009006115636771837,0.16006493105953848,0.05495721395631787,-4.859812404361672,21.0,0.16061974800942222,0.19947593188411095,0.009006115636771837,8,128,-0.7323148234458339,0.3125,0.125,0.275
MTOR,ht29,INS,0.009005870396069038,0.13064387281574996,0.05495721395631787,-4.859812404361672,21.0,0.12910241727060007,0.19412763485137507,0.009005870396069038,8,128,-0.8400606174889343,0.4375,0.125,0.375
MTOR,k562,INS,0.009005939061368989,0.16634944252314623,0.05495721395631787,-4.859812404361672,21.0,0.16505647880135174,0.19852252331055564,0.009005939061368989,8,128,-0.7704227369471073,0.5,0.125,0.425
MTOR,mcf7,INS,0.009006062957682949,0.18532515031774704,0.05495721395631787,-4.859812404361672,21.0,0.18292657388801936,0.20297908422002017,0.009006062957682949,8,128,-0.4378139774441102,0.5625,0.125,0.475
MYC,hap1,TGFB,0.009006552502284533,0.16299349941487884,0.05168427080051202,-5.54907608489522,13.0,0.16507612568044921,0.19993956458369772,0.009006552502284533,16,256,-1.1284877057909308,0.7894736842105263,0.05263157894736842,0.6421052631578947
MYC,ht29,TGFB,0.009006595178576191,0.1334625390351455,0.05168427080051202,-5.54907608489522,13.0,0.13258959145543867,0.1943180197238367,0.009006595178576191,16,256,-0.8297432064651545,0.7368421052631579,0.10526315789473684,0.6105263157894737
MYC,k562,TGFB,0.009006320480289712,0.16619180009880488,0.05168427080051202,-5.54907608489522,13.0,0.16688862210502042,0.19791133845696246,0.009006320480289712,16,256,-1.0552198056120674,0.6842105263157895,0.10526315789473684,0.5684210526315789
MYC,mcf7,TGFB,0.00900624566282431,0.17057073620630414,0.05168427080051202,-5.54907608489522,13.0,0.1702480322792206,0.20030340802151209,0.00900624566282431,16,256,-0.9554828509936961,0.47368421052631576,0.05263157894736842,0.3894736842105263
NFKB1,hap1,IFNG,0.009005823684739204,0.16583078377755534,0.05218605230101085,-5.771441123130016,9.0,0.165125431416009,0.19914556112016243,0.009005823684739202,20,320,-1.3419748000452092,0.09523809523809523,0.047619047619047616,0.08571428571428572
NFKB1,ht29,IFNG,0.009005579253042236,0.13610670184608162,0.05218605230101085,-5.771441123130016,9.0,0.1360627029269392,0.19376295700318436,0.009005579253042236,20,320,-1.7489702263905886,0.09523809523809523,0.047619047619047616,0.08571428571428572
NFKB1,k562,IFNG,0.00900583517565081,0.17893919261302899,0.05218605230101085,-5.771441123130016,9.0,0.17782908948220214,0.19893216388488605,0.00900583517565081,20,320,-1.424802959195223,0.19047619047619047,0.047619047619047616,0.1619047619047619
NFKB1,mcf7,IFNG,0.009005935637233342,0.1757967595568655,0.05218605230101085,-5.771441123130016,9.0,0.1748026363627703,0.2003065376862421,0.009005935637233342,20,320,-1.103476478546322,0.09523809523809523,0.047619047619047616,0.08571428571428572
NRAS,hap1,TGFB,0.009006544288542183,0.16960495801811493,0.04261593925384159,-3.4965075614664802,27.0,0.16507577995691486,0.20383188075472616,0.009006544288542183,2,32,0.2696681587728439,0.3157894736842105,0.6842105263157895,0.3894736842105263
NRAS,ht29,TGFB,0.009006582188925779,0.13994539194020936,0.04261593925384159,-3.4965075614664802,27.0,0.13258926769615054,0.19848422157442008,0.009006582188925779,2,32,0.36053651013445864,0.21052631578947367,0.8421052631578947,0.3368421052631579
NRAS,k562,TGFB,0.009006319870287025,0.1727188107137044,0.04261593925384159,-3.4965075614664802,27.0,0.16688837827377595,0.2018064367636266,0.009006319870287025,2,32,0.27150347288330795,0.3157894736842105,0.5263157894736842,0.35789473684210527
NRAS,mcf7,TGFB,0.00900604348547345,0.17387236142187912,0.04261593925384159,-3.4965075614664802,27.0,0.1702478194349317,0.2042839322357615,0.00900604348547345,2,32,-0.12134071060780585,0.3157894736842105,0.42105263157894735,0.3368421052631579
PIK3CA,hap1,INS,0.009006043689083745,0.16138505130587713,0.052999734385358564,-5.262690188904886,17.0,0.16062006018447594,0.19874584241703666,0.009006043689083745,12,192,-1.274373820675594,0.875,0.0625,0.7125
PIK3CA,hap1,TGFB,0.009006635422679456,0.1666125126374328,0.052999734385358564,-5.262690188904886,17.0,0.1650760679845208,0.1999242835089017,0.009006635422679456,12,192,-0.24916109078175053,0.7368421052631579,0.2631578947368421,0.6421052631578947
PIK3CA,ht29,INS,0.009006011898392922,0.12891476950765213,0.052999734385358564,-5.262690188904886,17.0,0.1291025032400906,0.19326298532253905,0.009006011898392922,12,192,-1.281897066288725,0.5,0.0625,0.4125
