dataset_name,score_name,feature_name,low_risk_median,high_risk_median,high_minus_low
McFarlandTsherniak2020,predicted_magnitude,context_similarity_max,0.9608286737419808,0.9667917859991464,0.005963112257165615
McFarlandTsherniak2020,predicted_magnitude,context_similarity_mean,0.8351885373172401,0.8374122356823126,0.002223698365072524
McFarlandTsherniak2020,predicted_magnitude,historical_residual_risk,1.209679302151081,1.079122143567052,-0.13055715858402905
McFarlandTsherniak2020,predicted_magnitude,model_disagreement_cosine,0.05741318604807075,0.0057653005149059,-0.05164788553316485
McFarlandTsherniak2020,predicted_magnitude,model_disagreement_rmse,0.16681015709438757,0.3573143554200505,0.19050419832566295
McFarlandTsherniak2020,predicted_magnitude,ood_mean_k_distance,0.13681888808839493,0.063228773383801,-0.07359011470459392
McFarlandTsherniak2020,predicted_magnitude,ood_nearest_distance,0.11942123532417935,0.0525197251243849,-0.06690151019979446
McFarlandTsherniak2020,predicted_magnitude,perturbation_effect_stability,0.058906314905398646,0.5540753948486703,0.49516907994327164
McFarlandTsherniak2020,predicted_magnitude,perturbation_effect_variance,2.6427364349365234,2.3900797367095947,-0.2526566982269287
McFarlandTsherniak2020,predicted_magnitude,perturbation_support_count,65.0,64.0,-1.0
McFarlandTsherniak2020,predicted_magnitude,prediction_abs_mean,0.06366067007184026,0.21362981200218195,0.1499691419303417
McFarlandTsherniak2020,predicted_magnitude,prediction_l2_norm,29.785398483276367,99.86012268066406,70.0747241973877
McFarlandTsherniak2020,predicted_magnitude,prediction_magnitude_deviation,1.22436055503157,0.18302987510498595,-1.041330679926584
McFarlandTsherniak2020,predicted_magnitude,prediction_norm_ratio,0.29394559433752315,0.9824361551656643,0.6884905608281411
McFarlandTsherniak2020,protocol_v0_2_family_confidence,context_similarity_max,0.9653042379410623,0.9657234913779895,0.00041925343692716943
McFarlandTsherniak2020,protocol_v0_2_family_confidence,context_similarity_mean,0.8377392566123258,0.834153076727542,-0.0035861798847838244
McFarlandTsherniak2020,protocol_v0_2_family_confidence,historical_residual_risk,1.95813104359036,1.209679302151081,-0.7484517414392791
McFarlandTsherniak2020,protocol_v0_2_family_confidence,model_disagreement_cosine,0.0155090092868416,0.0123549625142374,-0.0031540467726042
McFarlandTsherniak2020,protocol_v0_2_family_confidence,model_disagreement_rmse,0.14694275582383332,0.46550746882687466,0.31856471300304134
McFarlandTsherniak2020,protocol_v0_2_family_confidence,ood_mean_k_distance,0.1224689104058905,0.07278136032127125,-0.04968755008461925
McFarlandTsherniak2020,protocol_v0_2_family_confidence,ood_nearest_distance,0.1054927703637674,0.0637249652229643,-0.04176780514080311
McFarlandTsherniak2020,protocol_v0_2_family_confidence,perturbation_effect_stability,0.0953060014744008,0.518040990946277,0.42273498947187615
McFarlandTsherniak2020,protocol_v0_2_family_confidence,perturbation_effect_variance,7.280073642730713,2.8319872617721558,-4.448086380958557
McFarlandTsherniak2020,protocol_v0_2_family_confidence,perturbation_support_count,111.0,61.0,-50.0
McFarlandTsherniak2020,protocol_v0_2_family_confidence,prediction_abs_mean,0.10755936056375501,0.1338584497570991,0.02629908919334409
McFarlandTsherniak2020,protocol_v0_2_family_confidence,prediction_l2_norm,50.66965675354004,81.9852409362793,31.315584182739258
McFarlandTsherniak2020,protocol_v0_2_family_confidence,prediction_magnitude_deviation,0.7007197322691732,0.6524718289571656,-0.04824790331200757
McFarlandTsherniak2020,protocol_v0_2_family_confidence,prediction_norm_ratio,0.4962287416929031,0.8065992072282253,0.3103704655353222
McFarlandTsherniak2020,safeconf_lodo_risk,context_similarity_max,0.9676700903025116,0.9578502559193374,-0.009819834383174242
McFarlandTsherniak2020,safeconf_lodo_risk,context_similarity_mean,0.8402400619991863,0.7954020492697271,-0.0448380127294592
McFarlandTsherniak2020,safeconf_lodo_risk,historical_residual_risk,1.013279355871206,1.552787640526225,0.539508284655019
McFarlandTsherniak2020,safeconf_lodo_risk,model_disagreement_cosine,0.0156285358486728,0.0147886583830404,-0.0008398774656324017
McFarlandTsherniak2020,safeconf_lodo_risk,model_disagreement_rmse,0.17488441405597716,0.4001421084746791,0.22525769441870197
McFarlandTsherniak2020,safeconf_lodo_risk,ood_mean_k_distance,0.10602218755909959,0.0862350089146716,-0.019787178644427986
McFarlandTsherniak2020,safeconf_lodo_risk,ood_nearest_distance,0.08628213154560546,0.07769367846753969,-0.008588453078065772
McFarlandTsherniak2020,safeconf_lodo_risk,perturbation_effect_stability,0.1175558896315233,0.4525082797936114,0.3349523901620881
McFarlandTsherniak2020,safeconf_lodo_risk,perturbation_effect_variance,2.5039660930633545,3.5805375576019287,1.0765714645385742
McFarlandTsherniak2020,safeconf_lodo_risk,perturbation_support_count,61.0,66.0,5.0
McFarlandTsherniak2020,safeconf_lodo_risk,prediction_abs_mean,0.0855762846767902,0.13369142264127726,0.04811513796448706
McFarlandTsherniak2020,safeconf_lodo_risk,prediction_l2_norm,45.14499282836914,80.83559799194336,35.69060516357422
McFarlandTsherniak2020,safeconf_lodo_risk,prediction_magnitude_deviation,0.8125264830907015,0.6178652644728799,-0.1946612186178216
McFarlandTsherniak2020,safeconf_lodo_risk,prediction_norm_ratio,0.4437355600379871,0.8051067387529491,0.36137117871496205
SantinhaPlatt2023,predicted_magnitude,context_similarity_max,0.8724850708563641,0.903383255519413,0.030898184663048944
SantinhaPlatt2023,predicted_magnitude,context_similarity_mean,0.6826462634386774,0.6813584094820863,-0.001287853956591145
SantinhaPlatt2023,predicted_magnitude,historical_residual_risk,0.2240273702361575,0.4788838010739509,0.2548564308377934
SantinhaPlatt2023,predicted_magnitude,model_disagreement_cosine,0.1608085604631275,0.0327254025286163,-0.1280831579345112
SantinhaPlatt2023,predicted_magnitude,model_disagreement_rmse,0.071115386174787,0.1517203423296146,0.0806049561548276
SantinhaPlatt2023,predicted_magnitude,ood_mean_k_distance,0.2618567269409381,0.1824159257065401,-0.07944080123439798
SantinhaPlatt2023,predicted_magnitude,ood_nearest_distance,0.2206383449762019,0.1155669597945303,-0.10507138518167161
SantinhaPlatt2023,predicted_magnitude,perturbation_effect_stability,-0.0356696288619396,0.0172124403523944,0.052882069214334
SantinhaPlatt2023,predicted_magnitude,perturbation_effect_variance,0.0685523748397827,0.2359325736761093,0.1673801988363266
SantinhaPlatt2023,predicted_magnitude,perturbation_support_count,6.0,5.0,-1.0
SantinhaPlatt2023,predicted_magnitude,prediction_abs_mean,0.0220368579030036,0.0565149672329425,0.0344781093299389
SantinhaPlatt2023,predicted_magnitude,prediction_l2_norm,6.197318077087402,21.27562713623047,15.078309059143066
SantinhaPlatt2023,predicted_magnitude,prediction_magnitude_deviation,0.9413248870227378,0.3211384929611167,-0.620186394061621
SantinhaPlatt2023,predicted_magnitude,prediction_norm_ratio,0.3901106302969009,1.3786964974342537,0.9885858671373529
SantinhaPlatt2023,protocol_v0_2_family_confidence,context_similarity_max,,,
SantinhaPlatt2023,protocol_v0_2_family_confidence,context_similarity_mean,,,
SantinhaPlatt2023,protocol_v0_2_family_confidence,historical_residual_risk,,,
SantinhaPlatt2023,protocol_v0_2_family_confidence,model_disagreement_cosine,,,
SantinhaPlatt2023,protocol_v0_2_family_confidence,model_disagreement_rmse,,,
SantinhaPlatt2023,protocol_v0_2_family_confidence,ood_mean_k_distance,,,
SantinhaPlatt2023,protocol_v0_2_family_confidence,ood_nearest_distance,,,
SantinhaPlatt2023,protocol_v0_2_family_confidence,perturbation_effect_stability,,,
SantinhaPlatt2023,protocol_v0_2_family_confidence,perturbation_effect_variance,,,
SantinhaPlatt2023,protocol_v0_2_family_confidence,perturbation_support_count,,,
SantinhaPlatt2023,protocol_v0_2_family_confidence,prediction_abs_mean,,,
SantinhaPlatt2023,protocol_v0_2_family_confidence,prediction_l2_norm,,,
SantinhaPlatt2023,protocol_v0_2_family_confidence,prediction_magnitude_deviation,,,
