panel_id,culture_condition,stratum,score_name,n_tasks,n_operational_levels,max_tie_fraction,aurc_tie_average,aurc_best_legal_tie_order,aurc_worst_legal_tie_order
Q04,Rest,all_200,disagreement_only,200,200,0.0050000000000000001,0.11726667597468364,0.11726667597468364,0.11726667597468364
Q04,Rest,all_200,support_only,200,2,0.80000000000000004,0.12421711936139122,0.096031046573998385,0.15189112014165665
Q04,Rest,all_200,context_only,200,1,1,0.12205829178244694,0.085401908713631819,0.16079779479325867
Q04,Rest,seen_160,SafeConf,160,160,0.0062500000000000003,0.11819401716609233,0.11819401716609233,0.11819401716609233
Q04,Rest,seen_160,magnitude,160,158,0.012500000000000001,0.11878593924109869,0.11878593924109869,0.11878593924109869
Q04,Rest,seen_160,disagreement_only,160,160,0.0062500000000000003,0.11819401716609233,0.11819401716609233,0.11819401716609233
Q04,Rest,seen_160,support_only,160,1,1,0.12455968910257426,0.086457608601791552,0.16453695746596358
Q04,Rest,seen_160,context_only,160,1,1,0.12455968910257426,0.086457608601791552,0.16453695746596358
Q04,Rest,column_unseen_40_descriptive,SafeConf,40,40,0.025000000000000001,0.11750388975099291,0.11750388975099291,0.11750388975099291
Q04,Rest,column_unseen_40_descriptive,magnitude,40,40,0.025000000000000001,0.11735640998220881,0.11735640998220881,0.11735640998220881
Q04,Rest,column_unseen_40_descriptive,disagreement_only,40,40,0.025000000000000001,0.11750388975099291,0.11750388975099291,0.11750388975099291
Q04,Rest,column_unseen_40_descriptive,support_only,40,1,1,0.11205270250193768,0.082596617516632706,0.14305623904271358
Q04,Rest,column_unseen_40_descriptive,context_only,40,1,1,0.11205270250193768,0.082596617516632706,0.14305623904271358
Q04,Stim8hr,all_200,SafeConf,200,200,0.0050000000000000001,0.12430319580421882,0.12430319580421882,0.12430319580421882
Q04,Stim8hr,all_200,magnitude,200,198,0.01,0.123778924073786,0.12377024707818468,0.12378760106938734
Q04,Stim8hr,all_200,disagreement_only,200,198,0.01,0.12614119703403323,0.12614119703403323,0.12614119703403323
Q04,Stim8hr,all_200,support_only,200,2,0.80000000000000004,0.12600504300995949,0.10521104904633623,0.14654665504551154
Q04,Stim8hr,all_200,context_only,200,1,1,0.12557509650920221,0.097064037275005927,0.15495330378800728
Q04,Stim8hr,seen_160,SafeConf,160,160,0.0062500000000000003,0.12424348883008876,0.12424348883008876,0.12424348883008876
Q04,Stim8hr,seen_160,magnitude,160,160,0.0062500000000000003,0.12220853168717054,0.12220853168717054,0.12220853168717054
Q04,Stim8hr,seen_160,disagreement_only,160,160,0.0062500000000000003,0.12424348883008876,0.12424348883008876,0.12424348883008876
Q04,Stim8hr,seen_160,support_only,160,1,1,0.12607326831100876,0.097880867858359352,0.1552171532573417
Q04,Stim8hr,seen_160,context_only,160,1,1,0.12607326831100876,0.097880867858359352,0.1552171532573417
Q04,Stim8hr,column_unseen_40_descriptive,SafeConf,40,40,0.025000000000000001,0.13513382032861301,0.13513382032861301,0.13513382032861301
Q04,Stim8hr,column_unseen_40_descriptive,magnitude,40,39,0.050000000000000003,0.13069100297068498,0.13069100297068498,0.13069100297068498
Q04,Stim8hr,column_unseen_40_descriptive,disagreement_only,40,40,0.025000000000000001,0.13513382032861301,0.13513382032861301,0.13513382032861301
Q04,Stim8hr,column_unseen_40_descriptive,support_only,40,1,1,0.12358240930197588,0.09423710070033435,0.15310823759894365
Q04,Stim8hr,column_unseen_40_descriptive,context_only,40,1,1,0.12358240930197588,0.09423710070033435,0.15310823759894365
Q04,Stim48hr,all_200,SafeConf,200,200,0.0050000000000000001,0.11849815234021556,0.11849815234021556,0.11849815234021556
Q04,Stim48hr,all_200,magnitude,200,200,0.0050000000000000001,0.11821053912585917,0.11821053912585917,0.11821053912585917
Q04,Stim48hr,all_200,disagreement_only,200,200,0.0050000000000000001,0.12066800611708242,0.12066800611708242,0.12066800611708242
Q04,Stim48hr,all_200,support_only,200,2,0.80000000000000004,0.12324929795336624,0.10003286995720087,0.1462272078623337
Q04,Stim48hr,all_200,context_only,200,1,1,0.12291398511464532,0.091355299299629503,0.15589632511192733
Q04,Stim48hr,seen_160,SafeConf,160,160,0.0062500000000000003,0.11742701961443207,0.11742701961443207,0.11742701961443207
Q04,Stim48hr,seen_160,magnitude,160,160,0.0062500000000000003,0.11511603154604512,0.11511603154604512,0.11511603154604512
Q04,Stim48hr,seen_160,disagreement_only,160,160,0.0062500000000000003,0.11742701961443207,0.11742701961443207,0.11742701961443207
Q04,Stim48hr,seen_160,support_only,160,1,1,0.1233025064789087,0.092003471749006707,0.15609297694683313
Q04,Stim48hr,seen_160,context_only,160,1,1,0.1233025064789087,0.092003471749006707,0.15609297694683313
Q04,Stim48hr,column_unseen_40_descriptive,SafeConf,40,40,0.025000000000000001,0.1336140198626804,0.1336140198626804,0.1336140198626804
Q04,Stim48hr,column_unseen_40_descriptive,magnitude,40,40,0.025000000000000001,0.13291235318962571,0.13291235318962571,0.13291235318962571
Q04,Stim48hr,column_unseen_40_descriptive,disagreement_only,40,40,0.025000000000000001,0.1336140198626804,0.1336140198626804,0.1336140198626804
Q04,Stim48hr,column_unseen_40_descriptive,support_only,40,1,1,0.12135989965759175,0.089495207397396984,0.15362499140510938
Q04,Stim48hr,column_unseen_40_descriptive,context_only,40,1,1,0.12135989965759175,0.089495207397396984,0.15362499140510938
